strategy_key,strategy_label,portfolio_model,portfolio_start_date,portfolio_end_date,initial_equity,ending_equity,total_portfolio_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,maximum_drawdown,max_drawdown_peak_date,max_drawdown_trough_date,max_drawdown_recovery_date,max_drawdown_duration_days,longest_time_under_water_days,ulcer_index,conditional_drawdown_at_risk_95,worst_daily_return,worst_weekly_return,worst_monthly_return,daily_expected_shortfall_95,daily_expected_shortfall_99,daily_return_skewness,daily_return_excess_kurtosis,average_gross_exposure,median_gross_exposure,maximum_gross_exposure,average_active_positions,maximum_active_positions,percent_days_in_cash,annual_turnover,total_transaction_cost
score_bo_l40_rm002_erp010__signal_3d_confirm__ma50,Score BO L40 R20>=-0.02 ER20>=0.10 / Signal 3D confirm / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1565.2705847150526,0.5652705847150525,0.049474535491176086,0.12265901738708349,0.45580081983378656,0.6520860872512644,0.18690794148682305,-0.26470001808170374,2021-08-04,2023-04-26,2025-12-26,1605,1604,0.11932312431247086,-0.23716765617578703,-0.05205373678035152,-0.07766504784358619,-0.08086999656541993,-0.019000724478301804,-0.03010789538590156,0.3896351475374463,13.729301728529737,0.9670450371669633,0.9999999999999998,1.0,55.17916845263609,319,0.002571795970852979,34.93975758356996,404.6739938981153
score_bo_l40_rp000_erp010__signal_3d_confirm__ma50,Score BO L40 R20>=0.00 ER20>=0.10 / Signal 3D confirm / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1565.2705847150526,0.5652705847150525,0.049474535491176086,0.12265901738708349,0.45580081983378656,0.6520860872512644,0.18690794148682305,-0.26470001808170374,2021-08-04,2023-04-26,2025-12-26,1605,1604,0.11932312431247086,-0.23716765617578703,-0.05205373678035152,-0.07766504784358619,-0.08086999656541993,-0.019000724478301804,-0.03010789538590156,0.3896351475374463,13.729301728529737,0.9670450371669633,0.9999999999999998,1.0,55.17916845263609,319,0.002571795970852979,34.93975758356996,404.6739938981153
score_bo_l40_rm002_erp005__signal_3d_confirm__ma50,Score BO L40 R20>=-0.02 ER20>=0.05 / Signal 3D confirm / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1567.0713339712877,0.5670713339712876,0.049604591851154956,0.12219744446304634,0.45807506334978654,0.655472276272034,0.1907797413478411,-0.2600097447491182,2021-06-07,2023-04-26,2025-12-23,1660,1659,0.1166009908194098,-0.23178991553176256,-0.052053736780351634,-0.072763897658635,-0.07444783606024219,-0.018872924896506854,-0.029955229667845223,0.39889817509854697,13.811445228417618,0.9667197079570842,0.9999999999999998,1.0,56.462923274753535,329,0.0021431633090441492,35.436381787511145,410.39296968446183
score_bo_l40_rp000_erp005__signal_3d_confirm__ma50,Score BO L40 R20>=0.00 ER20>=0.05 / Signal 3D confirm / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1567.0713339712877,0.5670713339712876,0.049604591851154956,0.12219744446304634,0.45807506334978654,0.655472276272034,0.1907797413478411,-0.2600097447491182,2021-06-07,2023-04-26,2025-12-23,1660,1659,0.1166009908194098,-0.23178991553176256,-0.052053736780351634,-0.072763897658635,-0.07444783606024219,-0.018872924896506854,-0.029955229667845223,0.39889817509854697,13.811445228417618,0.9667197079570842,0.9999999999999998,1.0,56.462923274753535,329,0.0021431633090441492,35.436381787511145,410.39296968446183
score_bo_l40_rm002_erp015__signal_3d_confirm__ma50,Score BO L40 R20>=-0.02 ER20>=0.15 / Signal 3D confirm / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1836.6774925145858,0.8366774925145857,0.06771707274941408,0.1313900213588297,0.5650929613803011,0.8530560013470614,0.28438426222984114,-0.23811821448362958,2021-08-04,2023-04-26,2025-12-22,1601,1600,0.10760813489213392,-0.2103890169312169,-0.05088843585252478,-0.05688595363653248,-0.06606596770575235,-0.01937477056030168,-0.031126189145050474,1.2957408579265264,19.950787089563846,0.9681297474047882,0.9999999999999999,1.0,53.309472781825974,315,0.0021431633090441492,33.64677242313566,439.3581345977509
score_bo_l40_rp000_erp015__signal_3d_confirm__ma50,Score BO L40 R20>=0.00 ER20>=0.15 / Signal 3D confirm / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1836.6774925145858,0.8366774925145857,0.06771707274941408,0.1313900213588297,0.5650929613803011,0.8530560013470614,0.28438426222984114,-0.23811821448362958,2021-08-04,2023-04-26,2025-12-22,1601,1600,0.10760813489213392,-0.2103890169312169,-0.05088843585252478,-0.05688595363653248,-0.06606596770575235,-0.01937477056030168,-0.031126189145050474,1.2957408579265264,19.950787089563846,0.9681297474047882,0.9999999999999999,1.0,53.309472781825974,315,0.0021431633090441492,33.64677242313566,439.3581345977509
score_bo_l40_rp002_erp010__signal_3d_confirm__ma50,Score BO L40 R20>=0.02 ER20>=0.10 / Signal 3D confirm / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1717.0964644994597,0.7170964644994597,0.05999797236883975,0.16189840012776435,0.441574705114603,0.6285546158376953,0.1803147706579822,-0.3327401973221751,2021-08-04,2023-03-22,2025-12-11,1590,1589,0.13658789864499046,-0.26355197322361146,-0.05752887864746481,-0.0788572791927038,-0.08101872743208838,-0.02486411639979976,-0.04031026678266985,0.19910794139374408,9.658944194663174,0.9087938136255594,0.9999999999999998,1.0,42.510930132876126,292,0.06386626660951565,34.67656555773482,412.32277527007955
score_bo_l40_rm002_erp015__signal_3d_confirm__low20,Score BO L40 R20>=-0.02 ER20>=0.15 / Signal 3D confirm / Low20 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1872.966947760604,0.8729669477606039,0.06997092182173748,0.12930691976040834,0.5884675311891855,0.8847160753665555,0.23881141896729954,-0.29299654984805645,2021-08-04,2023-04-26,2025-12-22,1601,1600,0.12936859566890146,-0.2681555960419111,-0.05092841338372356,-0.060148975401963956,-0.0636571436715545,-0.018950202932024575,-0.031013866422318917,1.2941776673327374,20.857837239205818,0.9669746224086533,0.9999999999999999,1.0,50.68709815687956,316,0.0030004286326618087,34.00349176171386,448.90842534088256
score_bo_l40_rp000_erp015__signal_3d_confirm__low20,Score BO L40 R20>=0.00 ER20>=0.15 / Signal 3D confirm / Low20 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1872.966947760604,0.8729669477606039,0.06997092182173748,0.12930691976040834,0.5884675311891855,0.8847160753665555,0.23881141896729954,-0.29299654984805645,2021-08-04,2023-04-26,2025-12-22,1601,1600,0.12936859566890146,-0.2681555960419111,-0.05092841338372356,-0.060148975401963956,-0.0636571436715545,-0.018950202932024575,-0.031013866422318917,1.2941776673327374,20.857837239205818,0.9669746224086533,0.9999999999999999,1.0,50.68709815687956,316,0.0030004286326618087,34.00349176171386,448.90842534088256
score_bo_l40_rp002_erp015__signal_3d_confirm__ma50,Score BO L40 R20>=0.02 ER20>=0.15 / Signal 3D confirm / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1912.5948958513777,0.9125948958513777,0.07238803962068441,0.16945157790021703,0.4978034485716578,0.7265061937509584,0.21540478209539793,-0.33605586151112177,2021-08-04,2023-03-22,2025-12-22,1601,1600,0.13992457560098953,-0.26637347578530834,-0.05752887864746459,-0.07885727919270391,-0.07788051601707868,-0.025491066493796507,-0.04204901143670083,0.5593589568956003,11.605282259354878,0.909040916094492,0.9999999999999999,1.0,41.80882983283326,290,0.06429489927132448,34.30862542952418,444.2771353685757
