strategy_key,strategy_label,signal_key,signal_label,entry_key,entry_label,exit_key,exit_label,signal_params,description,skipped_stop_broken,trades,completed_trades,win_rate,trade_win_rate,avg_return,avg_trade_return,median_return,median_trade_return,total_return,sum_trade_returns,max_drawdown,trade_sequence_drawdown,worst_trade_return,tail_return_10,avg_holding_days,avg_days,profit_factor,stop_hit_rate,max_hold_exit_rate,sample_gate_pass,edge_gate_pass,sample_gate_status,edge_gate_status,gate_sample,gate_median_trade_return,gate_profit_factor,time_gate_pass,time_gate_status,time_gate_unavailable_reason,time_stability_status,eligible_years,joint_positive_years,joint_positive_year_ratio,positive_year_ratio,median_annual_avg_trade_return,minimum_annual_avg_trade_return,median_annual_profit_factor,minimum_annual_profit_factor,annual_median_trade_return,loyo_fold_count,loyo_pass_count,loyo_pass_ratio,worst_loyo_avg_trade_return,worst_loyo_profit_factor,omitted_year_causing_worst_avg,omitted_year_causing_worst_pf,available_neighbors,eligible_neighbors,neighbor_pass_ratio,raw_eligible_neighbors,raw_neighbor_edge_pass_ratio,effective_eligible_neighbors,effective_neighbor_edge_pass_ratio,parameter_gate_pass,parameter_gate_status,parameter_gate_unavailable_reason,neighbor_median_return_min,neighbor_median_return_max,neighbor_drawdown_min,neighbor_drawdown_max,parameter_stability_status,mandatory_gates_pass,mandatory_gates_passed,mandatory_gate_status,qualification_tier,qualification_reason,qualification_tier_rank,robustness_tier,robustness_tier_rank,regime_stability_status,qualification_rank
score_bo_l40_rm002_erp010__signal_3d_confirm__ma50,Score BO L40 R20>=-0.02 ER20>=0.10 / Signal 3D confirm / MA50 trailing,score_bo_l40_rm002_erp010,Score BO L40 R20>=-0.02 ER20>=0.10,signal_3d_confirm,Signal 3D confirm,ma50,MA50 trailing,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": -0.02, ""score_lookback"": 40}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다. Exit: MA50을 price stop으로 사용합니다. 느리지만 noise가 적은 stop입니다.",2,3732,3732,0.4670418006430868,0.4670418006430868,0.00715677018173638,0.00715677018173638,-0.002797675524735586,-0.002797675524735586,408332421.86753494,26.709066318240172,-0.9999999997607831,-0.9999999997607831,-0.4620410650511302,-0.05018423779809703,35.02357984994641,35.02357984994641,1.4419138268919809,0.8011789924973205,0.19882100750267953,True,True,Pass,Pass,Pass,Diagnostic,Pass,True,Pass,,Pass,8,5,0.625,0.625,0.011406015981823501,-0.02536226877655024,2.0200705073580787,0.21723329582244758,0.0038224498530265733,8,8,1.0,0.004311771988288617,1.2651126303797622,2020,2020,4,4,1.0,4,1.0,3,1.0,True,Pass,,-0.004460756789427754,-0.0024013088750118854,-0.9999999999929376,-0.9999999994928284,Pass,True,4,Pass,Qualified,All mandatory provisional gates pass.,1,Qualified,1,Not available,1
score_bo_l40_rp000_erp010__signal_3d_confirm__ma50,Score BO L40 R20>=0.00 ER20>=0.10 / Signal 3D confirm / MA50 trailing,score_bo_l40_rp000_erp010,Score BO L40 R20>=0.00 ER20>=0.10,signal_3d_confirm,Signal 3D confirm,ma50,MA50 trailing,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 40}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다. Exit: MA50을 price stop으로 사용합니다. 느리지만 noise가 적은 stop입니다.",2,3732,3732,0.4670418006430868,0.4670418006430868,0.00715677018173638,0.00715677018173638,-0.002797675524735586,-0.002797675524735586,408332421.86753494,26.709066318240172,-0.9999999997607831,-0.9999999997607831,-0.4620410650511302,-0.05018423779809703,35.02357984994641,35.02357984994641,1.4419138268919809,0.8011789924973205,0.19882100750267953,True,True,Pass,Pass,Pass,Diagnostic,Pass,True,Pass,,Pass,8,5,0.625,0.625,0.011406015981823501,-0.02536226877655024,2.0200705073580787,0.21723329582244758,0.0038224498530265733,8,8,1.0,0.004311771988288617,1.2651126303797622,2020,2020,5,5,1.0,5,1.0,4,1.0,True,Pass,,-0.00680670478789319,-0.0024013088750118854,-0.9999999999929376,-0.9999999994928284,Pass,True,4,Pass,Qualified,All mandatory provisional gates pass.,1,Qualified,1,Not available,2
score_bo_l40_rm002_erp005__signal_3d_confirm__ma50,Score BO L40 R20>=-0.02 ER20>=0.05 / Signal 3D confirm / MA50 trailing,score_bo_l40_rm002_erp005,Score BO L40 R20>=-0.02 ER20>=0.05,signal_3d_confirm,Signal 3D confirm,ma50,MA50 trailing,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.05, ""family"": ""score_breakout"", ""r20_min"": -0.02, ""score_lookback"": 40}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다. Exit: MA50을 price stop으로 사용합니다. 느리지만 noise가 적은 stop입니다.",3,3872,3872,0.46384297520661155,0.46384297520661155,0.006940770311617039,0.006940770311617039,-0.002836745155313956,-0.002836745155313956,457713366.97671276,26.874662646581175,-0.9999999998493188,-0.9999999998493188,-0.4620410650511302,-0.04971073564054779,34.53873966942149,34.53873966942149,1.4364264718311581,0.8070764462809917,0.19292355371900827,True,True,Pass,Pass,Pass,Diagnostic,Pass,True,Pass,,Pass,8,5,0.625,0.625,0.011035345878540201,-0.02459576478420553,1.9574268189887358,0.2152852490210498,0.003740597889082266,8,8,1.0,0.004148170635124709,1.2612471501605342,2020,2020,3,3,1.0,3,1.0,2,1.0,True,Pass,,-0.004875335864103379,-0.002797675524735586,-0.9999999999984229,-0.9999999997607831,Pass,True,4,Pass,Qualified,All mandatory provisional gates pass.,1,Qualified,1,Not available,3
score_bo_l40_rp000_erp005__signal_3d_confirm__ma50,Score BO L40 R20>=0.00 ER20>=0.05 / Signal 3D confirm / MA50 trailing,score_bo_l40_rp000_erp005,Score BO L40 R20>=0.00 ER20>=0.05,signal_3d_confirm,Signal 3D confirm,ma50,MA50 trailing,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.05, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 40}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다. Exit: MA50을 price stop으로 사용합니다. 느리지만 noise가 적은 stop입니다.",3,3872,3872,0.46384297520661155,0.46384297520661155,0.006940770311617039,0.006940770311617039,-0.002836745155313956,-0.002836745155313956,457713366.97671276,26.874662646581175,-0.9999999998493188,-0.9999999998493188,-0.4620410650511302,-0.04971073564054779,34.53873966942149,34.53873966942149,1.4364264718311581,0.8070764462809917,0.19292355371900827,True,True,Pass,Pass,Pass,Diagnostic,Pass,True,Pass,,Pass,8,5,0.625,0.625,0.011035345878540201,-0.02459576478420553,1.9574268189887358,0.2152852490210498,0.003740597889082266,8,8,1.0,0.004148170635124709,1.2612471501605342,2020,2020,4,4,1.0,4,1.0,3,1.0,True,Pass,,-0.007084939760766072,-0.002797675524735586,-0.9999999999984229,-0.9999999996727026,Pass,True,4,Pass,Qualified,All mandatory provisional gates pass.,1,Qualified,1,Not available,4
score_bo_l40_rm002_erp015__signal_3d_confirm__ma50,Score BO L40 R20>=-0.02 ER20>=0.15 / Signal 3D confirm / MA50 trailing,score_bo_l40_rm002_erp015,Score BO L40 R20>=-0.02 ER20>=0.15,signal_3d_confirm,Signal 3D confirm,ma50,MA50 trailing,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": -0.02, ""score_lookback"": 40}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다. Exit: MA50을 price stop으로 사용합니다. 느리지만 noise가 적은 stop입니다.",1,3539,3539,0.4713195818027691,0.4713195818027691,0.007118734839189635,0.007118734839189635,-0.0024013088750118854,-0.0024013088750118854,137668436.44640464,25.193202595892117,-0.9999999994928284,-0.9999999994928284,-0.4620410650511302,-0.05051522263806494,35.69256852218141,35.69256852218141,1.4351557975049596,0.7945747386267307,0.20542526137326927,True,True,Pass,Pass,Pass,Diagnostic,Pass,True,Pass,,Pass,8,5,0.625,0.625,0.011157849625627351,-0.025313925666741212,1.9813029432386475,0.22180986562417435,0.003904170703200373,8,8,1.0,0.004450806211266695,1.2689426363176255,2020,2020,3,3,1.0,3,1.0,2,1.0,True,Pass,,-0.0034985246137169673,-0.0024013088750118854,-0.9999999999765555,-0.9999999994928284,Pass,True,4,Pass,Qualified,All mandatory provisional gates pass.,1,Qualified,1,Not available,5
score_bo_l40_rp000_erp015__signal_3d_confirm__ma50,Score BO L40 R20>=0.00 ER20>=0.15 / Signal 3D confirm / MA50 trailing,score_bo_l40_rp000_erp015,Score BO L40 R20>=0.00 ER20>=0.15,signal_3d_confirm,Signal 3D confirm,ma50,MA50 trailing,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 40}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다. Exit: MA50을 price stop으로 사용합니다. 느리지만 noise가 적은 stop입니다.",1,3539,3539,0.4713195818027691,0.4713195818027691,0.007118734839189635,0.007118734839189635,-0.0024013088750118854,-0.0024013088750118854,137668436.44640464,25.193202595892117,-0.9999999994928284,-0.9999999994928284,-0.4620410650511302,-0.05051522263806494,35.69256852218141,35.69256852218141,1.4351557975049596,0.7945747386267307,0.20542526137326927,True,True,Pass,Pass,Pass,Diagnostic,Pass,True,Pass,,Pass,8,5,0.625,0.625,0.011157849625627351,-0.025313925666741212,1.9813029432386475,0.22180986562417435,0.003904170703200373,8,8,1.0,0.004450806211266695,1.2689426363176255,2020,2020,4,4,1.0,4,1.0,3,1.0,True,Pass,,-0.006478670625358117,-0.0024013088750118854,-0.9999999999765555,-0.9999999993299497,Pass,True,4,Pass,Qualified,All mandatory provisional gates pass.,1,Qualified,1,Not available,6
score_bo_l40_rp002_erp010__signal_3d_confirm__ma50,Score BO L40 R20>=0.02 ER20>=0.10 / Signal 3D confirm / MA50 trailing,score_bo_l40_rp002_erp010,Score BO L40 R20>=0.02 ER20>=0.10,signal_3d_confirm,Signal 3D confirm,ma50,MA50 trailing,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": 0.02, ""score_lookback"": 40}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다. Exit: MA50을 price stop으로 사용합니다. 느리지만 noise가 적은 stop입니다.",0,2924,2924,0.45041039671682626,0.45041039671682626,0.008048608607450363,0.008048608607450363,-0.00680670478789319,-0.00680670478789319,19868238.97529569,23.53413156818486,-0.9999999996276518,-0.9999999996276518,-0.4620410650511302,-0.054029135953864015,34.40766073871409,34.40766073871409,1.414846885108737,0.8242134062927496,0.17578659370725033,True,True,Pass,Pass,Pass,Diagnostic,Pass,True,Pass,,Pass,8,5,0.625,0.625,0.013266067053457724,-0.028498280845964622,2.0376819494737592,0.16032198010580498,0.002730279305059426,8,8,1.0,0.0039049516154276015,1.2015333873220204,2020,2020,4,4,1.0,4,1.0,4,1.0,True,Pass,,-0.009200147477693764,-0.002797675524735586,-0.9999999999887852,-0.9999999993299497,Pass,True,4,Pass,Qualified,All mandatory provisional gates pass.,1,Qualified,1,Not available,7
score_bo_l40_rm002_erp015__signal_3d_confirm__low20,Score BO L40 R20>=-0.02 ER20>=0.15 / Signal 3D confirm / Low20 trailing,score_bo_l40_rm002_erp015,Score BO L40 R20>=-0.02 ER20>=0.15,signal_3d_confirm,Signal 3D confirm,low20,Low20 trailing,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": -0.02, ""score_lookback"": 40}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다. Exit: Initial stop은 signal-day Low20입니다. 현재 Suggested Stop 아이디어와 가장 직접적으로 대응합니다.",1,3579,3579,0.44341994970662196,0.44341994970662196,0.006588318432423201,0.006588318432423201,-0.004552850530613382,-0.004552850530613382,25034039.48751002,23.579591669642635,-0.9999999990375745,-0.9999999990375745,-0.39945220778498136,-0.04701356571832187,33.535065660799106,33.535065660799106,1.404776983552645,0.8002235261246158,0.1997764738753842,True,True,Pass,Pass,Pass,Diagnostic,Pass,True,Pass,,Pass,8,5,0.625,0.625,0.009348397875774473,-0.02499160833647596,1.7613995884715097,0.1908878090024676,0.003863433345120378,8,8,1.0,0.0034513493375507467,1.2098142474194704,2020,2020,3,3,1.0,3,1.0,2,1.0,True,Pass,,-0.0046212432835315825,-0.003730195116641853,-0.999999999970515,-0.9999999990375745,Pass,True,4,Pass,Qualified,All mandatory provisional gates pass.,1,Qualified,1,Not available,8
score_bo_l40_rp000_erp015__signal_3d_confirm__low20,Score BO L40 R20>=0.00 ER20>=0.15 / Signal 3D confirm / Low20 trailing,score_bo_l40_rp000_erp015,Score BO L40 R20>=0.00 ER20>=0.15,signal_3d_confirm,Signal 3D confirm,low20,Low20 trailing,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 40}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다. Exit: Initial stop은 signal-day Low20입니다. 현재 Suggested Stop 아이디어와 가장 직접적으로 대응합니다.",1,3579,3579,0.44341994970662196,0.44341994970662196,0.006588318432423201,0.006588318432423201,-0.004552850530613382,-0.004552850530613382,25034039.48751002,23.579591669642635,-0.9999999990375745,-0.9999999990375745,-0.39945220778498136,-0.04701356571832187,33.535065660799106,33.535065660799106,1.404776983552645,0.8002235261246158,0.1997764738753842,True,True,Pass,Pass,Pass,Diagnostic,Pass,True,Pass,,Pass,8,5,0.625,0.625,0.009348397875774473,-0.02499160833647596,1.7613995884715097,0.1908878090024676,0.003863433345120378,8,8,1.0,0.0034513493375507467,1.2098142474194704,2020,2020,4,4,1.0,4,1.0,3,1.0,True,Pass,,-0.008992177343701611,-0.003730195116641853,-0.999999999970515,-0.9999999984315581,Pass,True,4,Pass,Qualified,All mandatory provisional gates pass.,1,Qualified,1,Not available,9
score_bo_l40_rp002_erp015__signal_3d_confirm__ma50,Score BO L40 R20>=0.02 ER20>=0.15 / Signal 3D confirm / MA50 trailing,score_bo_l40_rp002_erp015,Score BO L40 R20>=0.02 ER20>=0.15,signal_3d_confirm,Signal 3D confirm,ma50,MA50 trailing,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": 0.02, ""score_lookback"": 40}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다. Exit: MA50을 price stop으로 사용합니다. 느리지만 noise가 적은 stop입니다.",0,2845,2845,0.4523725834797891,0.4523725834797891,0.00784026618849001,0.00784026618849001,-0.006478670625358117,-0.006478670625358117,8436549.800829932,22.30555730625408,-0.9999999993299497,-0.9999999993299497,-0.4620410650511302,-0.054559716720302326,34.770474516695955,34.770474516695955,1.4041108483679519,0.8221441124780317,0.17785588752196838,True,True,Pass,Pass,Pass,Diagnostic,Pass,True,Pass,,Pass,8,5,0.625,0.625,0.012748468297651592,-0.02822926002371469,1.9796100859362917,0.16032198010580498,0.002582248107210002,8,8,1.0,0.00403057775117193,1.2074102538586942,2020,2020,3,3,1.0,3,1.0,3,1.0,True,Pass,,-0.008726727472326832,-0.0024013088750118854,-0.9999999999662039,-0.9999999994928284,Pass,True,4,Pass,Qualified,All mandatory provisional gates pass.,1,Qualified,1,Not available,10
