signal_key,signal_label,signal_params,entry_key,entry_label,symbol,entry_signal_date,entry_date,entry_price,fwd_1d,fwd_3d,fwd_5d,fwd_10d,fwd_20d,mfe_20d,mae_20d
scanner_surge_v0,Scanner surge v0,"{""source"": ""features.add_signal_surge_v0""}",first_signal,First signal,VDE,2026-03-30,2026-03-31,174.1602280199895,-0.013061133411317094,-0.04146473278638352,-0.027319969494545404,-0.09490678419050869,-0.062168506356129805,0.012148547656235964,-0.13363376774307467
scanner_surge_v0,Scanner surge v0,"{""source"": ""features.add_signal_surge_v0""}",first_signal,First signal,XLE,2026-03-30,2026-03-31,61.595786850274166,-0.012572575475235492,-0.04497098404822564,-0.030303027184900078,-0.09816246303949827,-0.06979372791780714,0.01273373474966566,-0.13910384155028432
early_te_cross_base,Early TE cross base,"{""er20_min"": 0.1, ""ma50_slope_10_min"": 0.0, ""r20_min"": 0.0}",first_signal,First signal,BOXX,2026-03-31,2026-04-01,116.20999908447266,0.0,0.00043028183591564684,0.0005162856816660621,0.0010326370151230169,0.002581559711912096,0.002753633055203819,-0.0001720733432918342
early_te_cross_base,Early TE cross base,"{""er20_min"": 0.1, ""ma50_slope_10_min"": 0.0, ""r20_min"": 0.0}",first_signal,First signal,GUNR,2026-03-31,2026-04-01,54.90769764183623,-0.002351614621718401,0.0036179317611884088,0.008140389069918319,-0.003256175558190688,-0.020984110943795486,0.019355946464889362,-0.024602069713298036
early_te_cross_base,Early TE cross base,"{""er20_min"": 0.1, ""ma50_slope_10_min"": 0.0, ""r20_min"": 0.0}",first_signal,First signal,HGER,2026-03-31,2026-04-01,30.809999465942383,0.008763403519761015,0.017526807039521808,0.0048685368753766944,0.013307363015871765,0.05225571992568945,0.05225571992568945,-0.00908791899222161
early_te_cross_strict,Early TE cross strict,"{""er20_min"": 0.15, ""ma50_slope_10_min"": 0.0, ""r20_min"": 0.02}",first_signal,First signal,HGER,2026-03-31,2026-04-01,30.809999465942383,0.008763403519761015,0.017526807039521808,0.0048685368753766944,0.013307363015871765,0.05225571992568945,0.05225571992568945,-0.00908791899222161
scanner_surge_v0,Scanner surge v0,"{""source"": ""features.add_signal_surge_v0""}",signal_2d_confirm,Signal 2D confirm,VDE,2026-03-31,2026-04-01,167.69366083955578,-0.01196543173097675,0.0018363325826038501,-0.023930794600891425,-0.06142643236226575,-0.00408715852735575,0.022213000463442434,-0.10022513788968468
scanner_surge_v0,Scanner surge v0,"{""source"": ""features.add_signal_surge_v0""}",signal_2d_confirm,Signal 2D confirm,XLE,2026-03-31,2026-04-01,59.292397532672084,-0.01255860657517871,-0.0006697652220117867,-0.027963853107190184,-0.06630950012588022,-0.011553919381223188,0.021600791492666138,-0.10565977287613337
early_te_cross_base,Early TE cross base,"{""er20_min"": 0.1, ""ma50_slope_10_min"": 0.0, ""r20_min"": 0.0}",first_signal,First signal,BILS,2026-04-02,2026-04-06,98.31953430175781,0.0,0.000302554415952061,0.00060495363599955,0.0013105518161102836,0.002632044943492451,0.002733168897185223,0.0
early_te_cross_base,Early TE cross base,"{""er20_min"": 0.1, ""ma50_slope_10_min"": 0.0, ""r20_min"": 0.0}",first_signal,First signal,EMLP,2026-04-02,2026-04-06,43.34778486175662,0.002061386919432806,0.009161750528813517,0.010077852670175691,-0.01213925229720203,0.017178216279556402,0.025194661278739483,-0.022904293929029484
early_te_cross_base,Early TE cross base,"{""er20_min"": 0.1, ""ma50_slope_10_min"": 0.0, ""r20_min"": 0.0}",first_signal,First signal,GCOW,2026-04-02,2026-04-06,45.89642630966563,0.0017271552586737293,0.006260847933221569,0.0012953710460814616,-0.008851433276822696,-0.0025906037519055625,0.006476701170126997,-0.021588966601580273
early_te_cross_base,Early TE cross base,"{""er20_min"": 0.1, ""ma50_slope_10_min"": 0.0, ""r20_min"": 0.0}",first_signal,First signal,GNR,2026-04-02,2026-04-06,73.80577705238468,0.0018746570577978794,0.008837640265273672,0.008168104757994454,-0.0018747211087183357,-0.006963066918555083,0.01767532564969798,-0.019951841221531263
early_te_cross_base,Early TE cross base,"{""er20_min"": 0.1, ""ma50_slope_10_min"": 0.0, ""r20_min"": 0.0}",first_signal,First signal,IDV,2026-04-02,2026-04-06,41.76198308633328,0.005838393315780843,0.02265295576614612,0.026623030341223375,0.030126064185049595,0.03689865717896468,0.042970546845667146,-0.00490429155029426
early_te_cross_base,Early TE cross base,"{""er20_min"": 0.1, ""ma50_slope_10_min"": 0.0, ""r20_min"": 0.0}",first_signal,First signal,PDBC,2026-04-02,2026-04-06,17.520000457763672,0.001712259047549347,-0.029109601344550096,-0.031392758563853596,-0.0388128017927335,0.04851600224091679,0.05793375360322317,-0.05279686759364677
early_te_cross_base,Early TE cross base,"{""er20_min"": 0.1, ""ma50_slope_10_min"": 0.0, ""r20_min"": 0.0}",first_signal,First signal,SGOV,2026-04-02,2026-04-06,99.54671327138344,4.9832059881183e-05,0.0001493125326776923,0.0006472513861122131,0.001244594070992644,0.0027194035764015467,0.0027194035764015467,-4.9756096375142e-05
early_te_cross_base,Early TE cross base,"{""er20_min"": 0.1, ""ma50_slope_10_min"": 0.0, ""r20_min"": 0.0}",first_signal,First signal,TBIL,2026-04-02,2026-04-06,49.44129180908203,0.0,0.0004009802528219808,0.0008019605056439616,0.0014034694629272426,0.002949291930752773,0.002949291930752773,0.0
early_te_cross_strict,Early TE cross strict,"{""er20_min"": 0.15, ""ma50_slope_10_min"": 0.0, ""r20_min"": 0.02}",first_signal,First signal,GCOW,2026-04-02,2026-04-06,45.89642630966563,0.0017271552586737293,0.006260847933221569,0.0012953710460814616,-0.008851433276822696,-0.0025906037519055625,0.006476701170126997,-0.021588966601580273
early_te_cross_strict,Early TE cross strict,"{""er20_min"": 0.15, ""ma50_slope_10_min"": 0.0, ""r20_min"": 0.02}",first_signal,First signal,GNR,2026-04-02,2026-04-06,73.80577705238468,0.0018746570577978794,0.008837640265273672,0.008168104757994454,-0.0018747211087183357,-0.006963066918555083,0.01767532564969798,-0.019951841221531263
