signal_key,signal_label,entry_key,entry_label,signal_params,description,signals,avg_fwd_1d,median_fwd_1d,win_rate_1d,avg_fwd_3d,median_fwd_3d,win_rate_3d,avg_fwd_5d,median_fwd_5d,win_rate_5d,avg_fwd_10d,median_fwd_10d,win_rate_10d,avg_fwd_20d,median_fwd_20d,win_rate_20d,avg_mfe_20d,median_mfe_20d,avg_mae_20d,median_mae_20d
score_bo_l10_rm002_erp005,Score BO L10 R20>=-0.02 ER20>=0.05,first_signal,First signal,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.05, ""family"": ""score_breakout"", ""r20_min"": -0.02, ""score_lookback"": 10}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal이 FALSE에서 TRUE로 처음 바뀐 날을 확인하고 다음 거래일 open에 진입합니다.",3022,0.00045013201494054674,0.00033227031804117235,0.5327597617471873,0.0016861051799299646,0.000796656088526082,0.5650730411686588,0.002639092073835413,0.0016627534945619082,0.6081754735792622,0.005534472895713392,0.0016830463529667883,0.5709979906229069,0.01881200830336294,0.006685426023002039,0.64576802507837,0.036478235100111965,0.023396150838458807,-0.023379924993841106,-0.014181274509122987
score_bo_l10_rm002_erp005,Score BO L10 R20>=-0.02 ER20>=0.05,signal_2d_confirm,Signal 2D confirm,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.05, ""family"": ""score_breakout"", ""r20_min"": -0.02, ""score_lookback"": 10}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 2거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다.",1509,-0.001676275228095509,-0.0014635484932865594,0.3353214049039099,0.0022267578864586836,0.0021467843714506607,0.6045122760451228,0.0012015209894501349,0.0018662636292210433,0.5811170212765957,0.0035897514148232933,0.0013458553306744392,0.553035356904603,0.0181931861204062,0.007190447650378129,0.6224328593996841,0.03851560981019107,0.025430698794528528,-0.025759038471800635,-0.015370778287394637
score_bo_l10_rm002_erp005,Score BO L10 R20>=-0.02 ER20>=0.05,signal_3d_confirm,Signal 3D confirm,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.05, ""family"": ""score_breakout"", ""r20_min"": -0.02, ""score_lookback"": 10}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다.",500,0.0009797517378794614,0.00043336366286150785,0.538,0.0004190131596803299,0.0010215781156225345,0.554,0.003948477567914363,0.003860200724008944,0.6292585170340681,0.006722265568879694,0.0050364837023174625,0.6465863453815262,0.020467038142972335,0.005190346135598212,0.6202247191011236,0.04788396436351357,0.03395691877006479,-0.02700610060545119,-0.01420163844733141
score_bo_l10_rm002_erp005,Score BO L10 R20>=-0.02 ER20>=0.05,breakout_5d_after_signal,5D breakout after signal,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.05, ""family"": ""score_breakout"", ""r20_min"": -0.02, ""score_lookback"": 10}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: 첫 signal 이후 5거래일 안에 종가가 직전 5일 고점을 돌파하면 다음 거래일 open에 진입합니다.",1294,-0.0007935145334286408,-0.000593542901436428,0.41035548686244205,0.0016507852681298843,0.0013850689804526528,0.5995352439969016,0.0020855960349790872,0.001596282621054268,0.5942591155934833,0.004650136102208459,0.001147965175816834,0.5323965651834505,0.02387203437037304,0.0123408455114421,0.6628318584070797,0.041452179862545895,0.026295496052768486,-0.026425625703629017,-0.015449690267936411
score_bo_l10_rm002_erp010,Score BO L10 R20>=-0.02 ER20>=0.10,first_signal,First signal,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": -0.02, ""score_lookback"": 10}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal이 FALSE에서 TRUE로 처음 바뀐 날을 확인하고 다음 거래일 open에 진입합니다.",2791,0.0005770774533945719,0.0003946420213740698,0.5410247223217485,0.0017256951536131057,0.0007622326436642624,0.5620280474649406,0.002816218253312237,0.001721689240552493,0.615190784737221,0.005640094167002191,0.0015368275143639032,0.5671262699564587,0.01951299510478126,0.007790176458806086,0.6594754653130288,0.03714423521187021,0.023783780271942945,-0.02359825400247039,-0.014276398083978403
score_bo_l10_rm002_erp010,Score BO L10 R20>=-0.02 ER20>=0.10,signal_2d_confirm,Signal 2D confirm,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": -0.02, ""score_lookback"": 10}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 2거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다.",1378,-0.0015713362705363652,-0.0012863667280854085,0.3468795355587808,0.0019620425590504715,0.0022322476309151185,0.6039244186046512,0.0010356693850680301,0.0018656728969854708,0.5790240349599417,0.0034051699606147514,0.0011764831564530231,0.5416058394160584,0.01903971167276255,0.00845995018814083,0.6245762711864407,0.03957378097209664,0.02578947882617877,-0.026605360735584976,-0.01675861363222747
score_bo_l10_rm002_erp010,Score BO L10 R20>=-0.02 ER20>=0.10,signal_3d_confirm,Signal 3D confirm,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": -0.02, ""score_lookback"": 10}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다.",477,0.00044564872442402086,0.0003740850595079781,0.5303983228511531,8.496859393072543e-05,0.0010286901993972197,0.5555555555555556,0.002301929103990107,0.0025027802178814174,0.6113445378151261,0.005330552509228263,0.004064942974573049,0.6323529411764706,0.018778554414374548,0.005102276358135205,0.6206088992974239,0.047576685957709315,0.03413585215752102,-0.027541009923159197,-0.01535852298777074
score_bo_l10_rm002_erp010,Score BO L10 R20>=-0.02 ER20>=0.10,breakout_5d_after_signal,5D breakout after signal,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": -0.02, ""score_lookback"": 10}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: 첫 signal 이후 5거래일 안에 종가가 직전 5일 고점을 돌파하면 다음 거래일 open에 진입합니다.",1221,-0.000838337185202262,-0.0005296906618658115,0.41113841113841115,0.0017994410130655625,0.0016781409847993478,0.6100164203612479,0.0018705122303957686,0.001754221024878988,0.5986842105263158,0.004569375393838925,0.0011809180495023774,0.5376344086021505,0.02462437283802659,0.013547531059066475,0.6632558139534884,0.042437074929239184,0.027188842529647594,-0.026831386316272528,-0.01543052002188372
score_bo_l10_rm002_erp015,Score BO L10 R20>=-0.02 ER20>=0.15,first_signal,First signal,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": -0.02, ""score_lookback"": 10}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal이 FALSE에서 TRUE로 처음 바뀐 날을 확인하고 다음 거래일 open에 진입합니다.",2451,0.0006837886999547885,0.00039534409376051904,0.5393716850265198,0.001749987068855104,0.0004464435897337804,0.5489553461696026,0.0029915773784987736,0.001822154714631763,0.6205906480721903,0.006084266280699818,0.0016535081540511865,0.5753820735233375,0.020315962425188534,0.008344100702928126,0.6679334916864608,0.03909782074143979,0.026211331621845746,-0.024483481222488616,-0.015221297692233793
score_bo_l10_rm002_erp015,Score BO L10 R20>=-0.02 ER20>=0.15,signal_2d_confirm,Signal 2D confirm,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": -0.02, ""score_lookback"": 10}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 2거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다.",1204,-0.0012472124954418956,-0.0008964493662853013,0.38289036544850497,0.002104658569065598,0.0024447865229473287,0.6084788029925187,0.001227481878733839,0.0023202809300195693,0.5931780366056573,0.0035050185181750714,0.0013158972225406629,0.5466666666666666,0.02034871662024528,0.010305854471600817,0.6359315589353612,0.04156184417525887,0.02771118129257455,-0.027534226956082864,-0.017301549689911433
