strategy_key,common_start_date,common_end_date,common_date_count,common_years,strategy_cagr,spy_cagr,strategy_cagr_spy_ratio,strategy_maximum_drawdown,spy_maximum_drawdown,maximum_drawdown_spy_ratio,strategy_cdar95,spy_cdar95,cdar95_spy_ratio,strategy_calmar,spy_calmar,calmar_spy_ratio,strategy_recovery_duration_days,spy_recovery_duration_days,annual_turnover,total_transaction_cost,variant,score_lookback,parent_signal_key,raw_boolean_signal_count,executable_trigger_count,completed_lifecycle_count,shift_edge_loss_raw_count,shift_edge_loss_executable_trigger_count,executable_trigger_count_matches_parent,shift_method,shift_requested_offset,shift_resolved_offsets
prior_price_high_l20,2016-08-01,2026-07-30,2513,9.99315537303217,0.04073378551331941,0.14919886159237805,0.27301673135152343,-0.20016679611738064,-0.3371726930381139,0.5936625362919109,-0.18880451775195595,-0.20551174318133628,0.9187042785451026,0.2034992131733604,0.4424998366505103,0.45988539727775224,1402,708,26.2028833158983,310.00113337126174,prior_price_high,,,77711,45644,8497,,,,,,
score_breakout_l10,2016-08-01,2026-07-30,2513,9.99315537303217,0.03114592084297696,0.14919886159237805,0.20875441347582022,-0.28095922999741696,-0.3371726930381139,0.8332799061092928,-0.25342478941803515,-0.20551174318133628,1.233140187003436,0.11085565988796063,0.4424998366505103,0.2505213577638341,1724,708,28.988347436861794,329.67865190380024,score_breakout,10.0,,88258,47799,10361,,,,,,
score_breakout_l10__random_10427,2016-08-01,2026-07-30,2513,9.99315537303217,0.029626416447237736,0.14919886159237805,0.19856998995192887,-0.26371133986450734,-0.3371726930381139,0.7821254369335819,-0.23755654499227397,-0.20551174318133628,1.1559268648831542,0.11234411255298896,0.4424998366505103,0.25388509384178415,1522,708,32.31822086850323,358.6129698017878,frequency_matched_random,10.0,score_breakout_l10,47799,47799,13150,,,,,,
score_breakout_l10__random_1729,2016-08-01,2026-07-30,2513,9.99315537303217,0.034312583500845095,0.14919886159237805,0.22997885596868375,-0.2595288804940471,-0.3371726930381139,0.7697209348584763,-0.23221517632001343,-0.20551174318133628,1.1299362884344522,0.13221104115860483,0.4424998366505103,0.29878212421358724,1448,708,32.48515205078712,370.4331571856352,frequency_matched_random,10.0,score_breakout_l10,47799,47799,13227,,,,,,
score_breakout_l10__random_3253,2016-08-01,2026-07-30,2513,9.99315537303217,0.025582138006084332,0.14919886159237805,0.1714633592579048,-0.28847971262424255,-0.3371726930381139,0.8555844485058369,-0.263640308509482,-0.20551174318133628,1.2828479016737022,0.08867915796701513,0.4424998366505103,0.20040495074138207,1724,708,32.8193740924769,358.31359785012677,frequency_matched_random,10.0,score_breakout_l10,47799,47799,13184,,,,,,
score_breakout_l10__random_5003,2016-08-01,2026-07-30,2513,9.99315537303217,0.024115724780808145,0.14919886159237805,0.16163477739323526,-0.29404356553338296,-0.3371726930381139,0.8720859417288112,-0.2722829948649606,-0.20551174318133628,1.3249023664049588,0.08201412174098491,0.4424998366505103,0.18534271642174702,1659,708,32.543082358771066,346.8332011451178,frequency_matched_random,10.0,score_breakout_l10,47799,47799,13162,,,,,,
score_breakout_l10__random_7919,2016-08-01,2026-07-30,2513,9.99315537303217,0.028066604011289797,0.14919886159237805,0.1881154032392671,-0.29401547860492816,-0.3371726930381139,0.8720026404145745,-0.2679912558990081,-0.20551174318133628,1.3040191852323597,0.09545961370626749,0.4424998366505103,0.2157280202154339,1659,708,32.53213868500589,358.15524376141445,frequency_matched_random,10.0,score_breakout_l10,47799,47799,13101,,,,,,
score_breakout_l10__shift_63,2016-08-01,2026-07-30,2513,9.99315537303217,0.025957812585233775,0.14919886159237805,0.17398130460373332,-0.2747656569120239,-0.3371726930381139,0.814910764084221,-0.24905390295571794,-0.20551174318133628,1.2118718818708165,0.09447255118038678,0.4424998366505103,0.21349736961598453,1525,708,33.03422442952737,356.0739348167751,shifted_placebo,10.0,score_breakout_l10,47799,47799,12948,40459.0,0.0,True,circular_eligible_session_index,63.0,"{""AAXJ"":63,""ACWI"":126,""ACWV"":63,""ACWX"":63,""AGG"":63,""AIA"":238,""AIQ"":63,""AIRR"":63,""AKRE"":63,""AMLP"":63,""ANGL"":303,""AOA"":85,""AOR"":63,""ARKK"":1198,""ARTY"":63,""AVDE"":63,""AVDV"":172,""AVEM"":740,""AVLV"":63,""AVSC"":65,""AVUS"":63,""AVUV"":63,""BAI"":63,""BBAX"":63,""BBCA"":63,""BBEU"":63,""BBIN"":63,""BBJP"":63,""BBUS"":63,""BIL"":1047,""BILS"":63,""BINC"":63,""BIV"":63,""BKLC"":63,""BKLN"":63,""BLCR"":63,""BLV"":154,""BND"":63,""BNDX"":63,""BOND"":267,""BOTZ"":63,""BOXX"":63,""BSCQ"":63,""BSCR"":63,""BSCS"":63,""BSV"":0,""BTC"":63,""CALF"":63,""CGBL"":63,""CGCB"":0,""CGCP"":63,""CGGO"":63,""CGGR"":63,""CGHM"":63,""CGMM"":63,""CGMS"":63,""CGMU"":63,""CGUS"":81,""CGXU"":63,""CIBR"":63,""CMF"":63,""COPX"":63,""CORO"":63,""COWZ"":123,""CQQQ"":164,""CWB"":63,""DBEF"":63,""DBMF"":63,""DCOR"":63,""DFAC"":63,""DFAE"":718,""DFAI"":63,""DFAS"":63,""DFAT"":677,""DFAU"":63,""DFAX"":63,""DFCF"":272,""DFEM"":447,""DFGR"":63,""DFIC"":63,""DFIS"":63,""DFIV"":63,""DFLV"":63,""DFSV"":63,""DFUS"":63,""DFUV"":63,""DIA"":63,""DIHP"":63,""DISV"":63,""DRAM"":63,""DSI"":63,""DUHP"":63,""DXJ"":63,""DYNF"":63,""EAGG"":63,""EAGL"":63,""EDV"":490,""EEM"":139,""EEMV"":63,""EFA"":63,""EFAV"":272,""EFG"":194,""EFV"":63,""EMB"":63,""EMLC"":0,""EMLP"":278,""EMXC"":63,""ESGD"":119,""ESGE"":63,""ESGU"":63,""ESGV"":63,""ETHA"":63,""EUFN"":63,""EVTR"":63,""EWC"":619,""EWJ"":315,""EWT"":63,""EWU"":63,""EWY"":284,""EWZ"":63,""EZU"":63,""FBCG"":63,""FBND"":63,""FBTC"":63,""FDL"":318,""FDN"":63,""FELC"":63,""FELG"":63,""FELV"":63,""FENI"":0,""FESM"":63,""FEZ"":552,""FHLC"":123,""FIMU"":63,""FIXD"":162,""FLCB"":63,""FLJP"":63,""FLOT"":63,""FLXR"":63,""FMDE"":63,""FNDA"":275,""FNDE"":63,""FNDF"":63,""FNDX"":506,""FPE"":63,""FRDM"":0,""FREI"":63,""FSEC"":63,""FTCS"":425,""FTEC"":495,""FV"":0,""FWD"":269,""FXI"":99,""GBIL"":1035,""GBTC"":63,""GDX"":215,""GDXJ"":381,""GLD"":112,""GLDM"":113,""GNR"":63,""GOVT"":481,""GRID"":75,""GRNY"":63,""GSIE"":63,""GSLC"":63,""GSUS"":63,""GUNR"":63,""GVI"":63,""HEFA"":63,""HELO"":63,""HGER"":63,""HYD"":63,""HYG"":63,""HYLB"":120,""HYMB"":264,""IAGG"":1245,""IALT"":63,""IAU"":112,""IAUM"":92,""IBB"":274,""IBDR"":63,""IBDS"":701,""IBDT"":63,""IBDU"":63,""IBDV"":63,""IBIT"":63,""ICVT"":63,""IDEF"":18,""IDEV"":78,""IDMO"":63,""IEF"":73,""IEFA"":63,""IEI"":63,""IEMG"":137,""IEUR"":63,""IFRA"":65,""IGF"":63,""IGIB"":279,""IGM"":63,""IGSB"":63,""IGV"":63,""IJH"":118,""IJJ"":63,""IJK"":63,""IJR"":63,""IJS"":273,""IJT"":63,""ILCG"":255,""ILF"":63,""IMCG"":136,""IMTM"":63,""INDA"":63,""INTF"":63,""IOO"":63,""IQLT"":63,""IQMM"":63,""ISTB"":697,""ITA"":63,""ITOT"":139,""IUSB"":63,""IUSG"":63,""IUSV"":63,""IVE"":63,""IVLU"":153,""IVOO"":63,""IVV"":63,""IVW"":63,""IWB"":63,""IWD"":63,""IWF"":0,""IWM"":63,""IWN"":63,""IWO"":63,""IWP"":63,""IWR"":63,""IWS"":63,""IWV"":63,""IWX"":307,""IWY"":484,""IXJ"":63,""IXN"":495,""IXUS"":0,""IYF"":63,""IYH"":379,""IYR"":0,""IYW"":484,""JAAA"":63,""JAVA"":63,""JBND"":63,""JCPB"":272,""JGLO"":63,""JGRO"":67,""JHMM"":90,""JIRE"":63,""JIVE"":63,""JMBS"":63,""JMTG"":16,""JMUB"":63,""JNK"":63,""JPIE"":63,""JPLD"":63,""JQUA"":63,""JTEK"":79,""KBWB"":63,""KRE"":63,""KWEB"":79,""LMBS"":63,""LQD"":89,""LRGF"":144,""MAGS"":63,""MBB"":63,""MCHI"":89,""MDY"":63,""MGC"":79,""MGK"":674,""MGV"":63,""MLPX"":131,""MOAT"":63,""MSLC"":63,""MTUM"":63,""MUB"":63,""MUNI"":238,""NEAR"":63,""NLR"":63,""OEF"":63,""OMFL"":63,""ONEQ"":63,""PAAA"":63,""PAVE"":63,""PBUS"":63,""PDBC"":89,""PFF"":63,""PGX"":131,""PPA"":63,""PRF"":63,""PSI"":63,""PTLC"":179,""PVAL"":63,""PYLD"":63,""PZA"":388,""QLTY"":63,""QQQ"":491,""QQQI"":63,""QQQM"":491,""QTEC"":63,""QTUM"":63,""QUAL"":163,""RECS"":63,""REET"":221,""RSP"":63,""RSPT"":169,""RWL"":145,""SCHA"":63,""SCHB"":139,""SCHC"":63,""SCHE"":63,""SCHF"":63,""SCHG"":1816,""SCHH"":91,""SCHI"":63,""SCHK"":63,""SCHM"":63,""SCHO"":63,""SCHP"":1577,""SCHR"":94,""SCHV"":63,""SCHX"":63,""SCHZ"":63,""SCMB"":63,""SCZ"":281,""SGOL"":63,""SGOV"":63,""SHLD"":63,""SHM"":120,""SHV"":976,""SHY"":1619,""SHYG"":63,""SIL"":957,""SILJ"":63,""SIVR"":63,""SJNK"":63,""SLV"":63,""SLYG"":63,""SLYV"":222,""SMBS"":63,""SMH"":63,""SMLF"":199,""SMMD"":63,""SOXX"":63,""SPAB"":63,""SPDW"":63,""SPEM"":74,""SPHQ"":170,""SPHY"":63,""SPIB"":637,""SPMB"":63,""SPMD"":118,""SPMO"":63,""SPSB"":63,""SPSM"":63,""SPTI"":459,""SPTL"":63,""SPTM"":63,""SPTS"":63,""SPY"":63,""SPYG"":63,""SPYI"":63,""SPYM"":63,""SPYV"":172,""SRLN"":63,""STIP"":66,""SUB"":63,""SUSA"":63,""TBIL"":63,""TCAF"":63,""TFI"":63,""TFLO"":63,""THRO"":63,""TIP"":77,""TLH"":0,""TLT"":93,""TOTL"":140,""TSPA"":63,""UCON"":63,""URA"":246,""URTH"":63,""USCA"":16,""USFR"":63,""USHY"":63,""USIG"":63,""USMC"":63,""USMV"":63,""USRT"":190,""VAW"":63,""VB"":63,""VBIL"":63,""VBK"":63,""VBR"":63,""VCIT"":63,""VCLT"":63,""VCR"":396,""VCRB"":63,""VCSH"":63,""VDC"":1028,""VDE"":0,""VEA"":63,""VEU"":0,""VFH"":63,""VFLO"":63,""VGIT"":63,""VGK"":63,""VGLT"":63,""VGSH"":63,""VGT"":161,""VHT"":63,""VIG"":63,""VIOO"":63,""VIS"":63,""VLUE"":63,""VMBS"":63,""VNLA"":63,""VNQ"":0,""VNQI"":63,""VO"":63,""VOE"":63,""VONE"":63,""VONG"":0,""VONV"":63,""VOO"":63,""VOOG"":63,""VOOV"":63,""VOT"":63,""VOX"":67,""VPL"":63,""VPU"":63,""VSGX"":63,""VSS"":63,""VT"":126,""VTEB"":63,""VTHR"":141,""VTI"":63,""VTIP"":63,""VTV"":63,""VTWO"":63,""VUG"":63,""VV"":63,""VWO"":63,""VWOB"":63,""VXF"":63,""VXUS"":63,""XAR"":63,""XBI"":200,""XLB"":63,""XLC"":63,""XLE"":63,""XLF"":63,""XLG"":63,""XLI"":63,""XLK"":63,""XLP"":1250,""XLRE"":1017,""XLU"":63,""XLV"":0,""XLY"":0,""XME"":1225,""XMHQ"":63,""XMMO"":71,""XSD"":148,""XSMO"":63,""XT"":0}"
score_breakout_l20,2016-08-01,2026-07-30,2513,9.99315537303217,0.04404311886878087,0.14919886159237805,0.2951974190601388,-0.24307370409336593,-0.3371726930381139,0.7209175271672695,-0.22461230916745328,-0.20551174318133628,1.0929414820313375,0.18119244544800153,0.4424998366505103,0.40947460414795295,1540,708,27.26831741507179,341.49897500529727,score_breakout,20.0,,61694,33365,8154,,,,,,
score_breakout_l20__random_10427,2016-08-01,2026-07-30,2513,9.99315537303217,0.027771059931998243,0.14919886159237805,0.18613452968475566,-0.2681176765505403,-0.3371726930381139,0.7951939231337228,-0.24107860884725243,-0.20551174318133628,1.1730648824020398,0.10357787777846637,0.4424998366505103,0.2340743864732157,1528,708,31.927845838652658,348.8928902525363,frequency_matched_random,20.0,score_breakout_l20,33365,33365,11439,,,,,,
