signal_key,signal_count,mean_forward_return_1d,median_forward_return_1d,positive_forward_return_rate_1d,mean_forward_return_3d,median_forward_return_3d,positive_forward_return_rate_3d,mean_forward_return_5d,median_forward_return_5d,positive_forward_return_rate_5d,mean_forward_return_10d,median_forward_return_10d,positive_forward_return_rate_10d,mean_forward_return_20d,median_forward_return_20d,positive_forward_return_rate_20d,mean_mfe_20d,median_mfe_20d,mean_mae_20d,median_mae_20d
prior_price_high_l20,77711,0.00010949565731063353,0.00010920142032544433,0.5182133062075892,0.0006817477718903406,0.0005951670156181255,0.585973142253267,0.0009353244303994035,0.000988472249785488,0.5994378618119931,0.002512735325221955,0.002168550041094286,0.6379848762484838,0.006080693007355716,0.004716888914436224,0.664079908794113,0.027152913038809613,0.0183079809511022,-0.025487610934986256,-0.013518019069153397
score_breakout_l10,88258,0.00021309249536564652,0.00020208259561838027,0.5213693628312563,0.0012666131534707858,0.0008946350806421366,0.573144996596324,0.0013806689983594726,0.001206158938001689,0.5722263208671472,0.0021436107346013084,0.0028544973982798094,0.6106032906764168,0.005966170693717581,0.006459540876618042,0.6436023912895233,0.02996971286365318,0.021253112398370133,-0.028262310601563603,-0.015077063395891432
score_breakout_l10__random_10427,47799,0.00025032918843062373,0.0003454395457571646,0.5378638743455497,0.0009218772045044817,0.0008908476884068595,0.5715334437988967,0.0017666465125964368,0.0014741037111702937,0.590154983409635,0.003684874581662578,0.00309923578660265,0.6158157567584652,0.007228495442408402,0.006366326308335779,0.6469725940089229,0.030587642395242764,0.02168871219083668,-0.028212661160733378,-0.015691754424771276
score_breakout_l10__random_1729,47799,0.00023979524945275937,0.0003429862348585111,0.5385646093292019,0.000914201746937504,0.0008153132833526033,0.5673941757343229,0.0017791292759774622,0.0014351451903238388,0.5881574803149606,0.0037806773735245274,0.0030795998794783674,0.6179214488785932,0.00773423504540028,0.006602210527835162,0.6513514087347927,0.030893847689350048,0.02165595754927685,-0.028000850063641856,-0.015700862492501244
score_breakout_l10__random_3253,47799,0.0004231850013721904,0.00036539311300287647,0.5403995978889168,0.0011878949707669001,0.0009466191852645078,0.5750036709949445,0.0019276721432691906,0.001550657280727119,0.5925256811545491,0.0038658109970565757,0.003268852892951646,0.6187073109031116,0.007655685233954234,0.006595814419539381,0.6497152329139748,0.030832681809103462,0.021835336810927197,-0.027771313687838615,-0.015628764067592782
score_breakout_l10__random_5003,47799,0.000227661025896692,0.00036581912650657245,0.5417774521092851,0.0010156772457344946,0.0008763236456279522,0.5718119679624272,0.001762236009304248,0.0014492902266434182,0.587591853873609,0.0035945399303513536,0.003108635552480421,0.618127817331592,0.0075009063811224954,0.0065299882753269145,0.6511933807149677,0.030552622437181473,0.021676337903214105,-0.027983269144537016,-0.01566302235047301
score_breakout_l10__random_7919,47799,0.0002292429964364908,0.00031533964984276075,0.5359948055212282,0.0010131149793322187,0.0008670032723923082,0.5698167023195336,0.0017589439344393354,0.001480842387159842,0.5895863951291203,0.003571449401275455,0.0029971600487163075,0.6155839231547017,0.007328791311792303,0.0065220377785732975,0.6500053084191528,0.030495563767430307,0.021515754429240364,-0.028069942608620047,-0.015620886730203232
score_breakout_l10__shift_63,47799,0.0006972370398178227,0.0004501380777542918,0.5548229088168802,0.0015048052630100678,0.00101704811936143,0.5812126924285266,0.0024267274828363296,0.0017976622447901658,0.6042326488663297,0.003933252064571857,0.003242165411530884,0.62143760539629,0.007717565110159345,0.006815654511747704,0.6543067563240474,0.03138777987784393,0.022359837887539924,-0.02817160395078054,-0.015189677754062936
score_breakout_l20,61694,0.00026344275459365375,0.0002187014132504217,0.525385812475684,0.0012686389904328977,0.0008611320157613234,0.5728393059834603,0.0012015371104221657,0.0011177824808958903,0.5683775237168572,0.0028315216957100113,0.003049161587851179,0.6198981247161118,0.00742662031285425,0.006747662495405815,0.6495372625426206,0.03052187894980862,0.02185394745781677,-0.02716422995467711,-0.014962614206620983
score_breakout_l20__random_10427,33365,0.00023027659876582904,0.00034400475635065764,0.5389485686851108,0.0008987228178391918,0.0008740442372576762,0.5723088947004539,0.0017147316443776766,0.001433170697104691,0.5908133164770333,0.0035869290714490164,0.0030753797743927613,0.6184393307966419,0.00703599209415026,0.0062375741983795585,0.6464212865710719,0.030572147282128963,0.021831560889334245,-0.028396053537902772,-0.015622563330463024
