strategy_key,episode_id,threshold_percent,prior_peak_date,onset_date,trough_date,spy_recovery_date,episode_is_open,nested_within_episode_ids,strategy_onset_to_spy_trough_return,strategy_spy_peak_to_trough_return,strategy_onset_to_spy_recovery_return,spy_onset_to_trough_return,spy_peak_to_trough_return,spy_onset_to_recovery_return,strategy_episode_maximum_drawdown,strategy_episode_cdar_95,strategy_episode_cdar_available,worst_strategy_day,worst_strategy_rolling_5d_return,strategy_recovery_date,strategy_recovery_basis_trough_date,strategy_recovery_duration_days,strategy_relative_return_vs_spy,crash_loss_capture,relative_crash_protection,strategy_positive_over_episode,strategy_loss_less_than_half_spy,strategy_recovered_before_spy,gross_exposure_at_prior_spy_peak,gross_exposure_at_onset,gross_exposure_at_spy_trough,gross_exposure_5d_after_onset,gross_exposure_10d_after_onset,gross_exposure_20d_after_onset,exposure_change_5d,exposure_change_10d,exposure_change_20d,minimum_exposure_before_spy_trough,average_exposure_onset_to_trough,percent_onset_to_trough_days_fully_in_cash,maximum_active_positions_during_episode,minimum_active_positions_during_episode,transaction_cost_onset_to_trough,days_to_exposure_below_75pct,exposure_below_75pct_reason,days_to_exposure_below_50pct,exposure_below_50pct_reason,days_to_exposure_below_25pct,exposure_below_25pct_reason
score_bo_l10_rm002_erp005__breakout_5d_after_signal__chandelier20_2_5atr,SPY10_01,10,2018-01-26,2018-02-08,2018-02-08,2018-08-06,False,,-0.00120136177212,-0.0383504614649,-0.0185095791363,-0.0375087068612,-0.10101881432,0.072452903405,-0.0591852446977,-0.0570913733433,True,-0.0198481769298,-0.0313019287151,2021-11-03,2018-02-08,1364,0.0363073450891,0.0320288773636,0.0363073450891,False,True,False,,,,,,,,,,,,,,,,,,,,,
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low10,SPY10_01,10,2018-01-26,2018-02-08,2018-02-08,2018-08-06,False,,-0.000843512385688,-0.043928507351,-0.0272447860719,-0.0375087068612,-0.10101881432,0.072452903405,-0.0580514710251,-0.0554060157843,True,-0.019935681432,-0.029407413273,2020-09-01,2018-02-08,936,0.0366651944755,0.0224884421851,0.0366651944755,False,True,False,,,,,,,,,,,,,,,,,,,,,
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20,SPY10_01,10,2018-01-26,2018-02-08,2018-02-08,2018-08-06,False,,-0.010833076061,-0.0676211670161,-0.0508180119289,-0.0375087068612,-0.10101881432,0.072452903405,-0.0755081115663,-0.0729079057636,True,-0.0247855603249,-0.0476760611263,2020-07-15,2018-02-08,888,0.0266756308002,0.288814970378,0.0266756308002,False,True,False,,,,,,,,,,,,,,,,,,,,,
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20_minus_0_5atr,SPY10_01,10,2018-01-26,2018-02-08,2018-02-08,2018-08-06,False,,-0.0116796854822,-0.0719433135497,-0.0207304790419,-0.0375087068612,-0.10101881432,0.072452903405,-0.0724524695334,-0.0711743354168,True,-0.0249263618791,-0.0490989448218,2020-01-16,2018-02-08,707,0.025829021379,0.311385981005,0.025829021379,False,True,False,,,,,,,,,,,,,,,,,,,,,
score_bo_l10_rm002_erp005__breakout_5d_after_signal__ma50,SPY10_01,10,2018-01-26,2018-02-08,2018-02-08,2018-08-06,False,,-0.00670563240352,-0.0684434844051,-0.0274638458481,-0.0375087068612,-0.10101881432,0.072452903405,-0.0627283188785,-0.0607804419766,True,-0.0211462127855,-0.0378944114917,2020-01-16,2018-02-08,707,0.0308030744577,0.178775355502,0.0308030744577,False,True,False,,,,,,,,,,,,,,,,,,,,,
score_bo_l10_rm002_erp005__first_signal__chandelier20_2_5atr,SPY10_01,10,2018-01-26,2018-02-08,2018-02-08,2018-08-06,False,,-0.00120136177212,-0.0388003381387,-0.0109492432673,-0.0375087068612,-0.10101881432,0.072452903405,-0.0516172218759,-0.0476882889268,True,-0.0152697371997,-0.0253935973321,2020-09-01,2018-02-08,936,0.0363073450891,0.0320288773636,0.0363073450891,False,True,False,,,,,,,,,,,,,,,,,,,,,
score_bo_l10_rm002_erp005__first_signal__low10,SPY10_01,10,2018-01-26,2018-02-08,2018-02-08,2018-08-06,False,,-0.00104361170655,-0.0441470547122,-0.0335273495232,-0.0375087068612,-0.10101881432,0.072452903405,-0.0489643044106,-0.0459087185382,True,-0.0168456063536,-0.0242740212529,2020-09-02,2018-02-08,937,0.0364650951547,0.0278231854383,0.0364650951547,False,True,False,1,0.600337651172,0.600337651172,1,1,1,0.399662348828,0.399662348828,0.399662348828,0.600337651172,0.600337651172,0,169,2,0.428465872692,0,already_below_at_onset,29,reached_before_episode_end,,not_reached_before_recovery_or_data_end
score_bo_l10_rm002_erp005__first_signal__low20,SPY10_01,10,2018-01-26,2018-02-08,2018-02-08,2018-08-06,False,,-0.010833076061,-0.0674219290912,-0.0341724228506,-0.0375087068612,-0.10101881432,0.072452903405,-0.0635449310718,-0.0619794108197,True,-0.0219194736804,-0.042944923581,2020-06-05,2018-02-08,848,0.0266756308002,0.288814970378,0.0266756308002,False,True,False,,,,,,,,,,,,,,,,,,,,,
score_bo_l10_rm002_erp005__first_signal__low20_minus_0_5atr,SPY10_01,10,2018-01-26,2018-02-08,2018-02-08,2018-08-06,False,,-0.0126876243222,-0.0729255710497,0.000892724783514,-0.0375087068612,-0.10101881432,0.072452903405,-0.0608156033098,-0.0588512545904,True,-0.0221186325328,-0.0431056777387,2020-01-02,2018-02-08,693,0.024821082539,0.33825811082,0.024821082539,True,True,False,,,,,,,,,,,,,,,,,,,,,
score_bo_l10_rm002_erp005__first_signal__ma50,SPY10_01,10,2018-01-26,2018-02-08,2018-02-08,2018-08-06,False,,-0.00728410720938,-0.0693051692018,-0.0200034281651,-0.0375087068612,-0.10101881432,0.072452903405,-0.0590516452841,-0.0568524089259,True,-0.0179898170186,-0.0331824685272,2020-01-02,2018-02-08,693,0.0302245996518,0.194197769503,0.0302245996518,False,True,False,,,,,,,,,,,,,,,,,,,,,
