strategy_key,threshold_percent,episode_count,mean_crash_loss_capture,median_crash_loss_capture,worst_crash_loss_capture,mean_relative_crash_protection,worst_relative_crash_protection,mean_strategy_crash_maximum_drawdown,worst_strategy_crash_maximum_drawdown,mean_exposure_at_onset,mean_exposure_after_10d,mean_10d_exposure_reduction,mean_days_to_exposure_below_50pct,proportion_positive_strategy_return,proportion_loss_less_than_half_spy,proportion_recovered_before_spy
score_bo_l10_rm002_erp005__first_signal__low10,10,5,0.224481471012,0.105389582118,0.808671311967,0.105026296761,0.0324036713423,-0.077188400492,-0.184973748343,0.832394442407,0.950704188944,-0.118309746537,42,0.6,0.8,0.4
score_bo_l10_rm002_erp010__first_signal__low10,10,5,0.206200320419,0.102894948545,0.70244393742,0.108227140109,0.0364650951547,-0.0737870301876,-0.167083267494,0.834346434457,0.951217010899,-0.116870576442,38.3333333333,0.6,0.8,0.4
score_bo_l10_rm002_erp015__first_signal__low10,10,5,0.19754486695,0.0992470276806,0.670774612351,0.109705503796,0.0364650951547,-0.0739269625536,-0.168550229455,0.860878683713,0.950729138461,-0.0898504547479,38.3333333333,0.6,0.8,0.4
score_bo_l10_rp000_erp005__first_signal__low10,10,5,0.224481471012,0.105389582118,0.808671311967,0.105026296761,0.0324036713423,-0.077188400492,-0.184973748343,0.832394442407,0.950704188944,-0.118309746537,42,0.6,0.8,0.4
score_bo_l10_rp000_erp010__first_signal__low10,10,5,0.206200320419,0.102894948545,0.70244393742,0.108227140109,0.0364650951547,-0.0737870301876,-0.167083267494,0.834346434457,0.951217010899,-0.116870576442,38.3333333333,0.6,0.8,0.4
score_bo_l10_rp000_erp015__first_signal__low10,10,5,0.19754486695,0.0992470276806,0.670774612351,0.109705503796,0.0364650951547,-0.0739269625536,-0.168550229455,0.860878683713,0.950729138461,-0.0898504547479,38.3333333333,0.6,0.8,0.4
score_bo_l20_rm002_erp005__first_signal__low10,10,5,0.251800914496,0.0997716139092,0.907862133454,0.100988487381,0.0156045869358,-0.0811957408442,-0.201809298622,0.875062408164,0.954861959039,-0.0797995508754,38.3333333333,0.6,0.8,0.6
score_bo_l20_rm002_erp010__first_signal__low10,10,5,0.229578384653,0.0997716139092,0.766928038477,0.104947211142,0.0364714848666,-0.0774853672463,-0.178863303465,0.883446700135,0.954425719786,-0.0709790196514,38.3333333333,0.6,0.8,0.6
score_bo_l20_rm002_erp015__first_signal__low10,10,5,0.221052853019,0.0997716139092,0.717271317084,0.106513897022,0.0364714848666,-0.0771993662055,-0.176786502873,0.893193335711,0.953968334427,-0.060774998716,38.3333333333,0.6,0.8,0.6
score_bo_l20_rp000_erp005__first_signal__low10,10,5,0.251800914496,0.0997716139092,0.907862133454,0.100988487381,0.0156045869358,-0.0811957408442,-0.201809298622,0.875062408164,0.954861959039,-0.0797995508754,38.3333333333,0.6,0.8,0.6
score_bo_l20_rp000_erp010__first_signal__low10,10,5,0.229578384653,0.0997716139092,0.766928038477,0.104947211142,0.0364714848666,-0.0774853672463,-0.178863303465,0.883446700135,0.954425719786,-0.0709790196514,38.3333333333,0.6,0.8,0.6
