behavior_group_id,representative_strategy_key,member_count,member_strategy_keys,normalized_return_hash,qualified_member_count,bootstrap_scope,pareto_input,seed,mean_block_length,bootstrap_paths,path_observations,index_matrix_hash,comparison_index_matrix_hash,additional_index_matrix_hash,prob_ending_equity_above_1000,prob_cagr_above_zero,prob_cagr_above_spy,prob_mdd_above_10pct,prob_mdd_above_15pct,prob_mdd_above_20pct,prob_mdd_above_30pct,prob_mdd_above_40pct,prob_ending_equity_below_750,prob_ending_equity_below_500,calmar_5pct,ending_equity_5pct,ending_equity_25pct,ending_equity_50pct,ending_equity_75pct,ending_equity_95pct,cagr_5pct,cagr_25pct,cagr_50pct,cagr_75pct,cagr_95pct,mdd_magnitude_50pct,mdd_magnitude_75pct,mdd_magnitude_90pct,mdd_magnitude_95pct,mdd_magnitude_99pct,cdar_magnitude_50pct,cdar_magnitude_90pct,cdar_magnitude_95pct,cdar_magnitude_99pct,es95_magnitude_50pct,es95_magnitude_90pct,es95_magnitude_95pct,es95_magnitude_99pct,longest_underwater_observations_50pct,longest_underwater_observations_90pct,longest_underwater_observations_95pct,longest_underwater_observations_99pct,pareto_unit,strict_pareto_frontier,tolerance_pareto_frontier,strict_dominator_count,tolerance_dominator_count,frontier_if_dimension_removed,leader_objectives,descriptive_categories,cagr,dsr_raw_n_540,mean_relative_crash_protection,maximum_drawdown_magnitude,cdar_95_magnitude,worst_crash_loss_capture,longest_time_under_water_days,cost_2x_cagr_drop
B001,score_bo_l10_rm002_erp005__breakout_5d_after_signal__chandelier20_2_5atr,2,score_bo_l10_rm002_erp005__breakout_5d_after_signal__chandelier20_2_5atr;score_bo_l10_rp000_erp005__breakout_5d_after_signal__chandelier20_2_5atr,26bebc84eddcd3ce661dd76bc63f8d7f8fc6c94ba5a756791edc308c9c559979,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B002,score_bo_l10_rm002_erp005__breakout_5d_after_signal__low10,2,score_bo_l10_rm002_erp005__breakout_5d_after_signal__low10;score_bo_l10_rp000_erp005__breakout_5d_after_signal__low10,3e34e46a10d25a6926795e212863766dc710e18c08ddc9d7cf14cf6b01185a8e,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B003,score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20,2,score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20;score_bo_l10_rp000_erp005__breakout_5d_after_signal__low20,072231643c0cd3f6061a6c2d84dddb47c799673ab414c583b3bb11c4399975b1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B004,score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20_minus_0_5atr,2,score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20_minus_0_5atr;score_bo_l10_rp000_erp005__breakout_5d_after_signal__low20_minus_0_5atr,6a42521fd5e779e9c76e24cef6ef3f704b774218c92dcb864a157051cbdfa572,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B005,score_bo_l10_rm002_erp005__breakout_5d_after_signal__ma50,2,score_bo_l10_rm002_erp005__breakout_5d_after_signal__ma50;score_bo_l10_rp000_erp005__breakout_5d_after_signal__ma50,5d249129fd4d89ec4bd805aa30f8e7d752f6c885af409fcda9ffd4111f8d2ad4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B006,score_bo_l10_rm002_erp005__first_signal__chandelier20_2_5atr,2,score_bo_l10_rm002_erp005__first_signal__chandelier20_2_5atr;score_bo_l10_rp000_erp005__first_signal__chandelier20_2_5atr,4aa1424b211e4cd02fb536e1a39708dd2e57b4f4569054f566765f7ab52d78f5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B007,score_bo_l10_rm002_erp005__first_signal__low10,2,score_bo_l10_rm002_erp005__first_signal__low10;score_bo_l10_rp000_erp005__first_signal__low10,fe37b2835f1b3f6ffccc366ef19a5fafe6c867d1936d74bb3891a9ecc9e3b4b7,2,comparison,True,20260728,20,5000,2332,a20988da73bd1a04c843855e91b3a958683e1f2cc5ec7a90bdb8ef62156e595f,a20988da73bd1a04c843855e91b3a958683e1f2cc5ec7a90bdb8ef62156e595f,,0.7834,0.7834,0.0028,0.994,0.8604,0.5592,0.1486,0.0258,0.0326,0.0006,-0.0765422259061,788.267667212,1026.41261836,1213.74441181,1446.72558449,1852.85504818,-0.025323025697,0.00281446178625,0.0211028839906,0.0406165897232,0.0687476517203,0.209242807544,0.264733996475,0.326120831569,0.365578169071,0.442424114234,0.183881137876,0.301851476194,0.34340201186,0.423702884051,0.0144809212972,0.0157260947056,0.0160796628923,0.0167101184348,1005,2038.4,2234.05,2324.01,behavioral_path,False,False,3,4,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,0.0209868657787,0.103086034006,0.105026296761,0.222397744698,0.182765380148,0.808671311967,1769,0.0548308961158
B008,score_bo_l10_rm002_erp005__first_signal__low20,2,score_bo_l10_rm002_erp005__first_signal__low20;score_bo_l10_rp000_erp005__first_signal__low20,d1b41d0f63c55096aa161e207ebfcaa92bbc873e6da8643e2cee3be7497610eb,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B009,score_bo_l10_rm002_erp005__first_signal__low20_minus_0_5atr,2,score_bo_l10_rm002_erp005__first_signal__low20_minus_0_5atr;score_bo_l10_rp000_erp005__first_signal__low20_minus_0_5atr,ac239ed0a6c010fe53f1377ff927201397476591636b68e9984e4921f812d617,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B010,score_bo_l10_rm002_erp005__first_signal__ma50,2,score_bo_l10_rm002_erp005__first_signal__ma50;score_bo_l10_rp000_erp005__first_signal__ma50,f17d639ede8d2b558e7dcac92f7330708b1596d53adbf8ecffd7e5e91dc4fcfa,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B011,score_bo_l10_rm002_erp005__signal_2d_confirm__chandelier20_2_5atr,2,score_bo_l10_rm002_erp005__signal_2d_confirm__chandelier20_2_5atr;score_bo_l10_rp000_erp005__signal_2d_confirm__chandelier20_2_5atr,e653737578d8b175318742c5bc1f352f27bd8fe0a7261d79a9898fed5977dd2d,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B012,score_bo_l10_rm002_erp005__signal_2d_confirm__low10,2,score_bo_l10_rm002_erp005__signal_2d_confirm__low10;score_bo_l10_rp000_erp005__signal_2d_confirm__low10,7af9cc9c0bb9189a7d7aa7347245f93cdd69da09b17a3aeb672975d83dd64816,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B013,score_bo_l10_rm002_erp005__signal_2d_confirm__low20,2,score_bo_l10_rm002_erp005__signal_2d_confirm__low20;score_bo_l10_rp000_erp005__signal_2d_confirm__low20,12cf26f1f03ba5870e9c76d26036d4c1ff992687d1d902c7be354d30b1d8dc42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B014,score_bo_l10_rm002_erp005__signal_2d_confirm__low20_minus_0_5atr,2,score_bo_l10_rm002_erp005__signal_2d_confirm__low20_minus_0_5atr;score_bo_l10_rp000_erp005__signal_2d_confirm__low20_minus_0_5atr,b4c1557e1c8f3b265744872eb42784f2eacca3423a7a1f068f188ec529b3ead9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B015,score_bo_l10_rm002_erp005__signal_2d_confirm__ma50,2,score_bo_l10_rm002_erp005__signal_2d_confirm__ma50;score_bo_l10_rp000_erp005__signal_2d_confirm__ma50,9428d136362241a45125d2cac685eb4a68365cb7d2e8a4fa7b08efa408e7ccae,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B016,score_bo_l10_rm002_erp005__signal_3d_confirm__chandelier20_2_5atr,2,score_bo_l10_rm002_erp005__signal_3d_confirm__chandelier20_2_5atr;score_bo_l10_rp000_erp005__signal_3d_confirm__chandelier20_2_5atr,4b6b85e2d034bc1f730cc0b23f53a0594ab82142e7556949884dc5dbafcdaf98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B017,score_bo_l10_rm002_erp005__signal_3d_confirm__low10,2,score_bo_l10_rm002_erp005__signal_3d_confirm__low10;score_bo_l10_rp000_erp005__signal_3d_confirm__low10,510496b8c8dc6ec5487765d815f86b13f239b8f38b517aaa665323403616f8a6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B018,score_bo_l10_rm002_erp005__signal_3d_confirm__low20,2,score_bo_l10_rm002_erp005__signal_3d_confirm__low20;score_bo_l10_rp000_erp005__signal_3d_confirm__low20,2a4ecfffad1a63f3e92f282a7b4143ff17bd9e369fcc23988e220c17813235f2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B019,score_bo_l10_rm002_erp005__signal_3d_confirm__low20_minus_0_5atr,2,score_bo_l10_rm002_erp005__signal_3d_confirm__low20_minus_0_5atr;score_bo_l10_rp000_erp005__signal_3d_confirm__low20_minus_0_5atr,570d4d1a06d389677a548813718d27afc81f06df4658ba42811be328137aec7d,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
