strategy_key,seed,mean_block_length,bootstrap_paths,path_observations,prob_ending_equity_above_1000,prob_cagr_above_zero,prob_cagr_above_spy,prob_mdd_above_10pct,prob_mdd_above_15pct,prob_mdd_above_20pct,prob_mdd_above_30pct,prob_mdd_above_40pct,prob_ending_equity_below_750,prob_ending_equity_below_500,calmar_5pct,ending_equity_5pct,ending_equity_25pct,ending_equity_50pct,ending_equity_75pct,ending_equity_95pct,cagr_5pct,cagr_25pct,cagr_50pct,cagr_75pct,cagr_95pct,mdd_magnitude_50pct,mdd_magnitude_75pct,mdd_magnitude_90pct,mdd_magnitude_95pct,mdd_magnitude_99pct,cdar_magnitude_50pct,cdar_magnitude_90pct,cdar_magnitude_95pct,cdar_magnitude_99pct,es95_magnitude_50pct,es95_magnitude_90pct,es95_magnitude_95pct,es95_magnitude_99pct,longest_underwater_observations_50pct,longest_underwater_observations_90pct,longest_underwater_observations_95pct,longest_underwater_observations_99pct
score_bo_l10_rm002_erp015__first_signal__low10,20260728,5,5000,2332,0.8108,0.8108,0.0054,0.9942,0.8504,0.5428,0.1482,0.0268,0.027,0.0002,-0.0680618408472,809.051487372,1058.81719844,1273.00338011,1524.05855993,1980.64644701,-0.0225845826573,0.00618045120087,0.0263638714641,0.0464749889432,0.0764599035945,0.207067213049,0.260710796351,0.327204215773,0.366781938831,0.439750320583,0.181236102643,0.304538923936,0.344348519494,0.420927014041,0.0144811741013,0.0155340734787,0.0158480473406,0.0164417415656,947,1973.1,2187,2324
score_bo_l10_rp000_erp010__first_signal__low10,20260728,5,5000,2332,0.8016,0.8016,0.0062,0.9946,0.8468,0.556,0.1546,0.0266,0.025,0,-0.0680706430178,806.178521488,1046.76313562,1262.57894062,1525.73575147,1965.54095686,-0.0229593476541,0.00493922463007,0.0254544547416,0.0465990808819,0.0755718113244,0.209441848046,0.266384689112,0.329346280374,0.366373009072,0.45276641925,0.183585934742,0.30605064308,0.345018014613,0.429943586416,0.0145986865631,0.0156332681147,0.0159448477675,0.0165824241727,973.5,2005,2206.05,2326
score_bo_l10_rp000_erp015__first_signal__low10,20260728,5,5000,2332,0.8242,0.8242,0.0066,0.9938,0.837,0.5318,0.14,0.0242,0.0238,0.0002,-0.0664528868363,818.534095654,1070.47631564,1282.31485316,1536.83778858,1985.0686287,-0.0213559535523,0.00736907266871,0.0271705933883,0.0474174417109,0.0767187483626,0.205337691547,0.258189356152,0.320688229804,0.362562817286,0.443735846996,0.179251393724,0.296959263495,0.340321061986,0.419925916292,0.0144728674896,0.0155191248315,0.0158425407465,0.0163606737602,935,1924.2,2154.05,2312.01
score_bo_l20_rm002_erp010__first_signal__low10,20260728,5,5000,2332,0.8774,0.8774,0.0134,0.9934,0.8156,0.4902,0.1132,0.0172,0.016,0.0004,-0.0477100194638,869.567512978,1144.30150659,1376.06568776,1646.74431595,2151.10734325,-0.014954086865,0.0146378759618,0.0350141035239,0.0552462318289,0.0860836845318,0.197985487646,0.248479950373,0.30916581525,0.348888887444,0.422387339009,0.171179353076,0.285177075391,0.325987791696,0.403685796387,0.0147083850068,0.0157826192076,0.0160851615607,0.0166795340422,844,1758.3,2031,2305
score_bo_l20_rp000_erp010__first_signal__low10,20260728,5,5000,2332,0.881,0.881,0.0082,0.9948,0.814,0.4824,0.112,0.018,0.013,0,-0.0452473538573,877.507433955,1157.55433214,1387.3440609,1651.43018086,2155.54028435,-0.0139883637831,0.015898230489,0.0359253118686,0.0555695381103,0.0863247527569,0.197113390508,0.247546048477,0.306939208334,0.34326379061,0.42273126529,0.170756337877,0.281753047887,0.320042844252,0.403994906276,0.0147247297286,0.0158158560834,0.0161382527326,0.01668912396,836,1756.1,2051.05,2298
score_bo_l20_rp000_erp015__first_signal__low10,20260728,5,5000,2332,0.8376,0.8376,0.0074,0.9938,0.8334,0.5356,0.1352,0.0236,0.0228,0.0004,-0.062955464556,827.037571911,1092.24488382,1317.36842553,1584.1570629,2063.9125067,-0.0202649482279,0.00955774516471,0.0301614050594,0.0508473702283,0.0812494816552,0.205831479469,0.256929990133,0.317843556719,0.35970327199,0.439978389819,0.180412656049,0.29471537477,0.335146342406,0.417920232418,0.014787843686,0.0158728503533,0.0161737396507,0.0167453222648,898.5,1910.1,2158.05,2319.01
score_bo_l20_rp002_erp010__first_signal__low10,20260728,5,5000,2332,0.9142,0.9142,0.0404,1,0.9794,0.8088,0.3274,0.0874,0.0198,0.002,-0.0322231162754,895.048826865,1298.04350884,1700.91642574,2191.68328992,3171.69883585,-0.0118821567047,0.02852148991,0.0589348259321,0.0882739157143,0.132511865783,0.26059818361,0.320288668856,0.389089703693,0.43634660146,0.51824907462,0.22510905758,0.355856913186,0.406726614836,0.491856062673,0.0202350728419,0.021613342752,0.0220002992903,0.0226631148695,786,1626.1,1918,2274
score_bo_l40_rm002_erp010__signal_3d_confirm__ma50,20260728,5,5000,2332,0.8822,0.8822,0.0366,0.9998,0.9396,0.7114,0.2404,0.054,0.0212,0.0008,-0.0473741751684,853.382822528,1208.01639627,1532.26918052,1950.62129169,2787.15650003,-0.0169472274095,0.0205822774316,0.0470813181788,0.0746886594451,0.116841375327,0.239373098247,0.297443595319,0.361245220495,0.404794015427,0.491583097005,0.207054560019,0.333433210619,0.377323591955,0.465998437122,0.0188903983776,0.0202744737634,0.0206720626012,0.0214636948796,848,1764.1,2052.1,2310.01
score_bo_l40_rm002_erp015__signal_3d_confirm__low20,20260728,5,5000,2332,0.938,0.938,0.0882,0.9994,0.934,0.669,0.1944,0.0402,0.0134,0.0004,-0.0128362421423,961.12247621,1399.03584002,1814.15020405,2381.54733511,3641.75048716,-0.00426579363737,0.0368629697368,0.0663180904846,0.0980649988695,0.149511033518,0.226995072865,0.282130046606,0.340698169754,0.385384012037,0.477929737412,0.194125751965,0.310948321814,0.357585922666,0.45543843788,0.0188966952498,0.0202961099328,0.0206876785159,0.021501741001,730,1521.2,1846.05,2254.03
score_bo_l40_rm002_erp015__signal_3d_confirm__low20_minus_0_5atr,20260728,5,5000,2332,0.9518,0.9518,0.0916,0.9992,0.9228,0.6598,0.1816,0.0352,0.0076,0.0002,0.0016122649001,1005.50157545,1467.1539502,1901.83191112,2464.13922466,3689.33466328,0.000591657390394,0.0421908085195,0.0717579169526,0.102108215969,0.151120907943,0.227052386494,0.278353798074,0.339079418011,0.379513751768,0.462762369059,0.194147370401,0.308132323692,0.35125253615,0.439036962095,0.0188351728124,0.0201887163863,0.0206046135261,0.0214075622762,699.5,1476.1,1787.05,2196.01
