strategy_key,qualification_rank,pareto_unit,strict_pareto_frontier,tolerance_pareto_frontier,strict_dominator_count,tolerance_dominator_count,frontier_if_dimension_removed,leader_objectives,descriptive_categories,behavior_group_id,behavior_group_representative,behavior_group_member_count,behavior_group_size,cagr,cagr_5pct,dsr_raw_n_540,mean_relative_crash_protection,maximum_drawdown_magnitude,cdar_95_magnitude,mdd_magnitude_95pct,worst_crash_loss_capture,longest_time_under_water_days,cost_2x_cagr_drop
score_bo_l10_rm002_erp005__first_signal__low10,15,behavioral_path,False,False,3,4,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B007,score_bo_l10_rm002_erp005__first_signal__low10,2,2,0.0209868657787,-0.025323025697,0.103086034006,0.105026296761,0.222397744698,0.182765380148,0.365578169071,0.808671311967,1769,0.0548308961158
score_bo_l10_rp000_erp005__first_signal__low10,16,behavioral_path,False,False,3,4,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B007,score_bo_l10_rm002_erp005__first_signal__low10,2,2,0.0209868657787,-0.025323025697,0.103086034006,0.105026296761,0.222397744698,0.182765380148,0.365578169071,0.808671311967,1769,0.0548308961158
score_bo_l20_rm002_erp005__first_signal__low10,23,behavioral_path,False,False,1,1,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B127,score_bo_l20_rm002_erp005__first_signal__low10,2,2,0.0336505223482,-0.0126337089265,0.191235099666,0.100988487381,0.213867445186,0.176284427363,0.327207391963,0.907862133454,1570,0.0552870531083
score_bo_l20_rp000_erp005__first_signal__low10,21,behavioral_path,False,False,1,1,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B127,score_bo_l20_rm002_erp005__first_signal__low10,2,2,0.0336505223482,-0.0126337089265,0.191235099666,0.100988487381,0.213867445186,0.176284427363,0.327207391963,0.907862133454,1570,0.0552870531083
score_bo_l20_rp002_erp005__first_signal__low10,19,behavioral_path,False,False,9,9,,,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B187,score_bo_l20_rp002_erp005__first_signal__low10,1,1,0.0472347487068,-0.0270880466929,0.19616457089,0.0654546535374,0.354796341107,0.293769121203,0.502326213642,1.73761858628,1722,0.0636157584667
score_bo_l20_rp002_erp015__first_signal__low10,42,behavioral_path,False,False,7,7,,,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B227,score_bo_l20_rp002_erp015__first_signal__low10,1,1,0.0330418083656,-0.0335867782246,0.128677054249,0.0793845937522,0.313835226458,0.283038951021,0.487050540953,1.31209927878,1722,0.0621037802863
score_bo_l40_rm002_erp005__signal_3d_confirm__low20,32,behavioral_path,False,False,2,2,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B258,score_bo_l40_rm002_erp005__signal_3d_confirm__low20,2,2,0.0411545807613,-0.0231849876417,0.185002987834,0.0954502208787,0.319961892211,0.294025311461,0.418011466713,0.816262938755,1876,0.0361601910083
score_bo_l40_rm002_erp005__signal_3d_confirm__low20_minus_0_5atr,34,behavioral_path,False,False,1,1,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B259,score_bo_l40_rm002_erp005__signal_3d_confirm__low20_minus_0_5atr,2,2,0.0479264402599,-0.016467796826,0.231643335908,0.0872127265773,0.336969908452,0.316491235823,0.406341592237,1.03608709727,1879,0.0331392259466
score_bo_l40_rm002_erp005__signal_3d_confirm__ma50,3,behavioral_path,False,False,1,1,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B260,score_bo_l40_rm002_erp005__signal_3d_confirm__ma50,2,2,0.0474985909891,-0.0157069126334,0.224694794206,0.106358700124,0.259731205808,0.231510973815,0.386949374593,0.628784725198,1660,0.0367852735537
score_bo_l40_rm002_erp010__signal_3d_confirm__low20,26,behavioral_path,False,False,3,3,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B278,score_bo_l40_rm002_erp010__signal_3d_confirm__low20,2,2,0.042616494934,-0.0223538868063,0.194407453988,0.0913109022694,0.334270576175,0.308989836674,0.423033565199,0.936166391477,1876,0.0360492761362
score_bo_l40_rm002_erp010__signal_3d_confirm__low20_minus_0_5atr,30,behavioral_path,False,False,1,1,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B279,score_bo_l40_rm002_erp010__signal_3d_confirm__low20_minus_0_5atr,2,2,0.0491361885998,-0.0168050257399,0.241657755331,0.0839222302352,0.350600246795,0.329630145759,0.414101821366,1.12996530623,1817,0.0330761132455
score_bo_l40_rm002_erp010__signal_3d_confirm__ma50,1,behavioral_path,False,False,1,1,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B280,score_bo_l40_rm002_erp010__signal_3d_confirm__ma50,2,2,0.0472965723121,-0.016335199501,0.222169523837,0.104499966805,0.264429458029,0.236896150393,0.392281047843,0.67689467379,1603,0.0362727897163
score_bo_l40_rp000_erp005__signal_3d_confirm__low20,33,behavioral_path,False,False,2,2,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B258,score_bo_l40_rm002_erp005__signal_3d_confirm__low20,2,2,0.0411545807613,-0.0231849876417,0.185002987834,0.0954502208787,0.319961892211,0.294025311461,0.418011466713,0.816262938755,1876,0.0361601910083
score_bo_l40_rp000_erp005__signal_3d_confirm__low20_minus_0_5atr,35,behavioral_path,False,False,1,1,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B259,score_bo_l40_rm002_erp005__signal_3d_confirm__low20_minus_0_5atr,2,2,0.0479264402599,-0.016467796826,0.231643335908,0.0872127265773,0.336969908452,0.316491235823,0.406341592237,1.03608709727,1879,0.0331392259466
score_bo_l40_rp000_erp005__signal_3d_confirm__ma50,4,behavioral_path,False,False,1,1,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B260,score_bo_l40_rm002_erp005__signal_3d_confirm__ma50,2,2,0.0474985909891,-0.0157069126334,0.224694794206,0.106358700124,0.259731205808,0.231510973815,0.386949374593,0.628784725198,1660,0.0367852735537
score_bo_l40_rp000_erp010__signal_3d_confirm__low20,27,behavioral_path,False,False,3,3,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B278,score_bo_l40_rm002_erp010__signal_3d_confirm__low20,2,2,0.042616494934,-0.0223538868063,0.194407453988,0.0913109022694,0.334270576175,0.308989836674,0.423033565199,0.936166391477,1876,0.0360492761362
score_bo_l40_rp000_erp010__signal_3d_confirm__low20_minus_0_5atr,31,behavioral_path,False,False,1,1,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B279,score_bo_l40_rm002_erp010__signal_3d_confirm__low20_minus_0_5atr,2,2,0.0491361885998,-0.0168050257399,0.241657755331,0.0839222302352,0.350600246795,0.329630145759,0.414101821366,1.12996530623,1817,0.0330761132455
score_bo_l40_rp000_erp010__signal_3d_confirm__ma50,2,behavioral_path,False,False,1,1,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;not strict behavior-path frontier;not tolerance behavior-path frontier,B280,score_bo_l40_rm002_erp010__signal_3d_confirm__ma50,2,2,0.0472965723121,-0.016335199501,0.222169523837,0.104499966805,0.264429458029,0.236896150393,0.392281047843,0.67689467379,1603,0.0362727897163
score_bo_l40_rp002_erp010__signal_3d_confirm__ma50,7,behavioral_path,True,False,0,1,,,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;not tolerance behavior-path frontier,B340,score_bo_l40_rp002_erp010__signal_3d_confirm__ma50,1,1,0.0587651629706,-0.017256507929,0.218375144436,0.0925505225485,0.332780670196,0.263596693135,0.464595100493,0.668226628555,1590,0.0362651385339
