strategy_key,qualification_tier,sample_length,annualized_sharpe,daily_return_skewness,daily_return_excess_kurtosis,psr_vs_zero,psr_vs_spy,psr_vs_annual_sharpe_0_50,dsr_raw_n_540,dsr_exact_deduplicated,raw_trial_count,exact_unique_path_count,cross_strategy_sharpe_std,expected_max_sharpe_raw,expected_max_sharpe_exact_deduplicated,behavior_group_id,behavior_group_size,behavior_group_representative,normalized_return_hash
score_bo_l10_rm002_erp005__breakout_5d_after_signal__chandelier20_2_5atr,Not qualified,2332,-0.0423868485319,-0.458863133331,4.30183490305,0.448681637918,0.00333290403514,0.0494093821847,0.0129301448694,0.0160087122678,540,360,0.224291984585,0.689829940267,0.662191407564,B001,2,score_bo_l10_rm002_erp005__breakout_5d_after_signal__chandelier20_2_5atr,26bebc84eddcd3ce661dd76bc63f8d7f8fc6c94ba5a756791edc308c9c559979
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low10,Not qualified,2332,0.186335416437,-0.724790796186,6.07157657052,0.713705902938,0.0223738502426,0.171104309162,0.0636749559198,0.0748003183308,540,360,0.224291984585,0.689829940267,0.662191407564,B002,2,score_bo_l10_rm002_erp005__breakout_5d_after_signal__low10,3e34e46a10d25a6926795e212863766dc710e18c08ddc9d7cf14cf6b01185a8e
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20,Not qualified,2332,0.477213003298,-0.808995805157,4.70590327463,0.924070253979,0.132037421417,0.47272338162,0.261588897552,0.289289854043,540,360,0.224291984585,0.689829940267,0.662191407564,B003,2,score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20,072231643c0cd3f6061a6c2d84dddb47c799673ab414c583b3bb11c4399975b1
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20_minus_0_5atr,Not qualified,2332,0.478182429779,-0.787419867094,4.26435127662,0.924554524118,0.132579984399,0.473873280603,0.262466814738,0.290221884205,540,360,0.224291984585,0.689829940267,0.662191407564,B004,2,score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20_minus_0_5atr,6a42521fd5e779e9c76e24cef6ef3f704b774218c92dcb864a157051cbdfa572
score_bo_l10_rm002_erp005__breakout_5d_after_signal__ma50,Not qualified,2332,0.475259514982,-0.585532424823,4.51508922886,0.923915695935,0.129989220674,0.470290032634,0.258983935584,0.286646398697,540,360,0.224291984585,0.689829940267,0.662191407564,B005,2,score_bo_l10_rm002_erp005__breakout_5d_after_signal__ma50,5d249129fd4d89ec4bd805aa30f8e7d752f6c885af409fcda9ffd4111f8d2ad4
score_bo_l10_rm002_erp005__first_signal__chandelier20_2_5atr,Not qualified,2332,-0.0310676777411,-0.409615487772,4.11041765673,0.462345556726,0.00370219756101,0.0530663640817,0.0141393784808,0.0174591467377,540,360,0.224291984585,0.689829940267,0.662191407564,B006,2,score_bo_l10_rm002_erp005__first_signal__chandelier20_2_5atr,4aa1424b211e4cd02fb536e1a39708dd2e57b4f4569054f566765f7ab52d78f5
score_bo_l10_rm002_erp005__first_signal__low10,Qualified,2332,0.271948527978,-0.597434701256,4.99028344282,0.794657847389,0.0403989152463,0.245130416496,0.103086034006,0.118890710723,540,360,0.224291984585,0.689829940267,0.662191407564,B007,2,score_bo_l10_rm002_erp005__first_signal__low10,fe37b2835f1b3f6ffccc366ef19a5fafe6c867d1936d74bb3891a9ecc9e3b4b7
score_bo_l10_rm002_erp005__first_signal__low20,Not qualified,2332,0.498453603681,-0.708119597223,4.91485119948,0.932954312916,0.145940569663,0.498145772089,0.282576604456,0.311312551059,540,360,0.224291984585,0.689829940267,0.662191407564,B008,2,score_bo_l10_rm002_erp005__first_signal__low20,d1b41d0f63c55096aa161e207ebfcaa92bbc873e6da8643e2cee3be7497610eb
score_bo_l10_rm002_erp005__first_signal__low20_minus_0_5atr,Not qualified,2332,0.508495708661,-0.697557505679,4.67558359279,0.936775525129,0.152973767824,0.510185241995,0.292880143255,0.322067892131,540,360,0.224291984585,0.689829940267,0.662191407564,B009,2,score_bo_l10_rm002_erp005__first_signal__low20_minus_0_5atr,ac239ed0a6c010fe53f1377ff927201397476591636b68e9984e4921f812d617
score_bo_l10_rm002_erp005__first_signal__ma50,Not qualified,2332,0.463815947287,-0.692485757782,4.58114276005,0.918585995509,0.123143465833,0.456649672013,0.248227988808,0.275283010679,540,360,0.224291984585,0.689829940267,0.662191407564,B010,2,score_bo_l10_rm002_erp005__first_signal__ma50,f17d639ede8d2b558e7dcac92f7330708b1596d53adbf8ecffd7e5e91dc4fcfa
score_bo_l10_rm002_erp005__signal_2d_confirm__chandelier20_2_5atr,Not qualified,2332,-0.222699711922,-0.394625586986,4.80648592781,0.248542616394,0.000540866822461,0.0137711794872,0.00269629154851,0.00348454489382,540,360,0.224291984585,0.689829940267,0.662191407564,B011,2,score_bo_l10_rm002_erp005__signal_2d_confirm__chandelier20_2_5atr,e653737578d8b175318742c5bc1f352f27bd8fe0a7261d79a9898fed5977dd2d
score_bo_l10_rm002_erp005__signal_2d_confirm__low10,Not qualified,2332,0.209837714756,-0.536963335744,5.91202310986,0.737557841024,0.0263641157449,0.189638847619,0.0729126825987,0.0852360941766,540,360,0.224291984585,0.689829940267,0.662191407564,B012,2,score_bo_l10_rm002_erp005__signal_2d_confirm__low10,7af9cc9c0bb9189a7d7aa7347245f93cdd69da09b17a3aeb672975d83dd64816
score_bo_l10_rm002_erp005__signal_2d_confirm__low20,Not qualified,2332,0.418031742139,-0.751622481956,5.10005057792,0.895846840405,0.0972176010717,0.402563718768,0.206653742806,0.231200912419,540,360,0.224291984585,0.689829940267,0.662191407564,B013,2,score_bo_l10_rm002_erp005__signal_2d_confirm__low20,12cf26f1f03ba5870e9c76d26036d4c1ff992687d1d902c7be354d30b1d8dc42
score_bo_l10_rm002_erp005__signal_2d_confirm__low20_minus_0_5atr,Not qualified,2332,0.42642391424,-0.754593296495,4.72466454017,0.900290271206,0.101682286577,0.412387651552,0.213991143453,0.239013815888,540,360,0.224291984585,0.689829940267,0.662191407564,B014,2,score_bo_l10_rm002_erp005__signal_2d_confirm__low20_minus_0_5atr,b4c1557e1c8f3b265744872eb42784f2eacca3423a7a1f068f188ec529b3ead9
score_bo_l10_rm002_erp005__signal_2d_confirm__ma50,Not qualified,2332,0.475141073529,-0.642822464805,4.47018293511,0.923693736781,0.130112305669,0.47017288353,0.259042825577,0.286684716232,540,360,0.224291984585,0.689829940267,0.662191407564,B015,2,score_bo_l10_rm002_erp005__signal_2d_confirm__ma50,9428d136362241a45125d2cac685eb4a68365cb7d2e8a4fa7b08efa408e7ccae
