strategy_key,strategy_label,qualification_tier,qualification_rank,ending_equity,total_return,cagr,annualized_arithmetic_mean_return,annualized_geometric_return,annualized_volatility,daily_return_skewness,daily_return_excess_kurtosis,downside_deviation,upside_semideviation,omega_ratio_zero,gain_to_loss_ratio,positive_day_ratio,positive_month_ratio,positive_calendar_year_ratio,sharpe_ratio,sortino_ratio,calmar_ratio,martin_ratio,maximum_drawdown,second_largest_drawdown,third_largest_drawdown,cdar_90,cdar_95,cdar_99,ulcer_index,longest_time_under_water_days,median_completed_recovery_days,maximum_completed_recovery_days,proportion_days_below_prior_peak,drawdown_episode_count,drawdown_episodes_over_5pct,drawdown_episodes_over_10pct,drawdown_episodes_over_15pct,drawdown_episodes_over_20pct,drawdown_episodes_over_30pct,worst_day,worst_rolling_5d_return,worst_rolling_21d_return,expected_shortfall_95,expected_shortfall_99,downside_tail_skewness,average_gross_exposure,median_gross_exposure,maximum_gross_exposure,percent_days_fully_in_cash,average_active_positions,maximum_active_positions,annual_turnover,total_transaction_cost,transaction_cost_percent_initial_capital,membership_change_rebalance_days,average_turnover_per_rebalance,transaction_cost_per_year,drawdown_1_peak_date,drawdown_1_trough_date,drawdown_1_recovery_date,drawdown_1_depth,drawdown_1_peak_to_trough_days,drawdown_1_trough_to_recovery_days,drawdown_1_time_under_water_days,drawdown_1_exposure_at_peak,drawdown_1_exposure_at_trough,drawdown_1_overlap_spy_thresholds,drawdown_2_peak_date,drawdown_2_trough_date,drawdown_2_recovery_date,drawdown_2_depth,drawdown_2_peak_to_trough_days,drawdown_2_trough_to_recovery_days,drawdown_2_time_under_water_days,drawdown_2_exposure_at_peak,drawdown_2_exposure_at_trough,drawdown_2_overlap_spy_thresholds,drawdown_3_peak_date,drawdown_3_trough_date,drawdown_3_recovery_date,drawdown_3_depth,drawdown_3_peak_to_trough_days,drawdown_3_trough_to_recovery_days,drawdown_3_time_under_water_days,drawdown_3_exposure_at_peak,drawdown_3_exposure_at_trough,drawdown_3_overlap_spy_thresholds,drawdown_4_peak_date,drawdown_4_trough_date,drawdown_4_recovery_date,drawdown_4_depth,drawdown_4_peak_to_trough_days,drawdown_4_trough_to_recovery_days,drawdown_4_time_under_water_days,drawdown_4_exposure_at_peak,drawdown_4_exposure_at_trough,drawdown_4_overlap_spy_thresholds,drawdown_5_peak_date,drawdown_5_trough_date,drawdown_5_recovery_date,drawdown_5_depth,drawdown_5_peak_to_trough_days,drawdown_5_trough_to_recovery_days,drawdown_5_time_under_water_days,drawdown_5_exposure_at_peak,drawdown_5_exposure_at_trough,drawdown_5_overlap_spy_thresholds,pre_cost_ending_equity_same_path,pre_cost_total_return_same_path,pre_cost_minus_post_cost_ending_equity,transaction_cost_percent_ending_profit,transaction_cost_percent_gross_positive_growth,cost_1_5x_ending_equity,cost_1_5x_cagr,cost_1_5x_maximum_drawdown,cost_1_5x_calmar,cost_1_5x_profitable,cost_2x_ending_equity,cost_2x_cagr,cost_2x_maximum_drawdown,cost_2x_calmar,cost_2x_profitable,cost_2x_cagr_drop,transaction_cost_per_completed_portfolio_year,behavior_group_id,behavior_group_size,behavior_group_representative,normalized_return_hash,psr_vs_zero,psr_vs_spy,psr_vs_annual_sharpe_0_50,dsr_raw_n_540,dsr_exact_deduplicated,best_day_contribution_ratio,best_5_days_contribution_ratio,best_10_days_contribution_ratio,best_month_contribution_ratio,best_year_contribution_ratio,prob_cagr_above_zero,cagr_5pct,mdd_magnitude_95pct,worst_crash_loss_capture,worst_relative_crash_protection,mean_relative_crash_protection,worst_strategy_crash_maximum_drawdown,mean_10d_exposure_reduction,mean_days_to_exposure_below_50pct,worst_full_year_loo_cagr
score_bo_l40_rm002_erp010__signal_3d_confirm__ma50,Score BO L40 R20>=-0.02 ER20>=0.10 / Signal 3D confirm / MA50 trailing,Qualified,1,1535.19352353,0.535193523531,0.0472965723121,0.0538101066027,0.047410958763,0.122482316641,0.39433256685,13.8413754816,0.0856434385896,0.0875909609237,1.09052458946,0.97093009752,0.527873070326,0.5625,0.7,0.439329595313,0.628303901487,0.17886272076,0.39662503183,-0.264429458029,-0.161606156991,-0.102011941807,-0.223279588221,-0.236896150393,-0.255111640073,0.119247572686,1603,2,973,0.968267581475,44,6,3,2,1,0,-0.0520537414084,-0.0906807244149,-0.0931836026462,-0.0189877626692,-0.0301866619126,-2.67876995041,0.968336387449,1,1,0.00128644939966,55.0819039451,319,35.0850909645,401.780473801,0.401780473801,1486,0.219006484778,43.3147337827,2021-08-04,2023-04-26,2025-12-24,-0.264429458029,630,973,1603,0.923783086217,1,10;15;20,2018-01-26,2018-12-12,2020-08-26,-0.161606156991,320,623,943,1,1,10;15;20,2026-01-29,2026-04-17,2026-06-01,-0.102011941807,78,45,123,1,0.665161616333,,2020-11-06,2020-11-10,2020-11-12,-0.058722988771,4,2,6,1,1,,2026-06-02,2026-06-10,,-0.0566487837519,8,,55,0.991595660503,0.981526668128,,2126.82157516,1.12682157516,591.628051628,0.750719984709,0.356560863458,1304.21613974,0.0291172938432,-0.297082379485,0.0980108409448,True,1107.94004037,0.0111381690466,-0.328624608828,0.0338932896303,True,0.0362727897163,50.2225592251,B280,2,score_bo_l40_rm002_erp010__signal_3d_confirm__ma50,889592031f1bf043cd6ffc24b7aebc59b37587d4462422486d31b9ea03ff1ae0,0.9101151687,0.105411845468,0.426515234743,0.222169523837,0.248095806879,0.197221799355,0.633132566015,0.961825489349,0.467575007554,0.6622988182,0.8878,-0.0163220057759,0.39657431614,0.67689467379,0.0226670380062,0.104499966805,-0.244131696232,0.0152657611198,42,0.0177012410059
score_bo_l40_rp000_erp010__signal_3d_confirm__ma50,Score BO L40 R20>=0.00 ER20>=0.10 / Signal 3D confirm / MA50 trailing,Qualified,2,1535.19352353,0.535193523531,0.0472965723121,0.0538101066027,0.047410958763,0.122482316641,0.39433256685,13.8413754816,0.0856434385896,0.0875909609237,1.09052458946,0.97093009752,0.527873070326,0.5625,0.7,0.439329595313,0.628303901487,0.17886272076,0.39662503183,-0.264429458029,-0.161606156991,-0.102011941807,-0.223279588221,-0.236896150393,-0.255111640073,0.119247572686,1603,2,973,0.968267581475,44,6,3,2,1,0,-0.0520537414084,-0.0906807244149,-0.0931836026462,-0.0189877626692,-0.0301866619126,-2.67876995041,0.968336387449,1,1,0.00128644939966,55.0819039451,319,35.0850909645,401.780473801,0.401780473801,1486,0.219006484778,43.3147337827,2021-08-04,2023-04-26,2025-12-24,-0.264429458029,630,973,1603,0.923783086217,1,10;15;20,2018-01-26,2018-12-12,2020-08-26,-0.161606156991,320,623,943,1,1,10;15;20,2026-01-29,2026-04-17,2026-06-01,-0.102011941807,78,45,123,1,0.665161616333,,2020-11-06,2020-11-10,2020-11-12,-0.058722988771,4,2,6,1,1,,2026-06-02,2026-06-10,,-0.0566487837519,8,,55,0.991595660503,0.981526668128,,2126.82157516,1.12682157516,591.628051628,0.750719984709,0.356560863458,1304.21613974,0.0291172938432,-0.297082379485,0.0980108409448,True,1107.94004037,0.0111381690466,-0.328624608828,0.0338932896303,True,0.0362727897163,50.2225592251,B280,2,score_bo_l40_rm002_erp010__signal_3d_confirm__ma50,889592031f1bf043cd6ffc24b7aebc59b37587d4462422486d31b9ea03ff1ae0,0.9101151687,0.105411845468,0.426515234743,0.222169523837,0.248095806879,0.197221799355,0.633132566015,0.961825489349,0.467575007554,0.6622988182,0.8908,-0.0162351180892,0.397243368203,0.67689467379,0.0226670380062,0.104499966805,-0.244131696232,0.0152657611198,42,0.0177012410059
score_bo_l40_rm002_erp005__signal_3d_confirm__ma50,Score BO L40 R20>=-0.02 ER20>=0.05 / Signal 3D confirm / MA50 trailing,Qualified,3,1537.94258733,0.537942587327,0.0474985909891,0.0539458581154,0.0476134770404,0.122012617578,0.403967648146,13.9262908671,0.0852941229814,0.0872763189251,1.0909218542,0.970495415747,0.528301886792,0.571428571429,0.7,0.442133438214,0.632468641798,0.182875949932,0.407673501706,-0.259731205808,-0.159646873517,-0.102493127121,-0.218000674098,-0.231510973815,-0.250353872882,0.116511352321,1660,2,972,0.968696397942,43,6,3,2,1,0,-0.0520537414084,-0.0861870611242,-0.08717930872,-0.0188595699706,-0.0300273640189,-2.66957232282,0.968005285766,1,1,0.000857632933105,56.3559176672,329,35.5835729442,407.478254961,0.407478254961,1502,0.219751980494,43.9289942811,2021-06-07,2023-04-26,2025-12-23,-0.259731205808,688,972,1660,1,1,10;15;20,2018-01-26,2018-12-12,2020-08-26,-0.159646873517,320,623,943,1,1,10;15;20,2026-01-29,2026-04-17,2026-06-01,-0.102493127121,78,45,123,1,0.665161616333,,2020-11-06,2020-11-10,2020-11-12,-0.058722988771,4,2,6,1,1,,2020-09-02,2020-10-26,2020-11-04,-0.0576974122406,54,9,63,0.944228339177,1,,2140.50165503,1.14050165503,602.559067699,0.757475359936,0.357279845378,1303.53343872,0.0290590675339,-0.293228410722,0.0991004502681,True,1104.80099335,0.0108282034867,-0.327223070091,0.0330911982571,True,0.0367852735537,50.9347818701,B260,2,score_bo_l40_rm002_erp005__signal_3d_confirm__ma50,da91bce6b0aa53cdcce2e3a7c342760185d81b5de4b5ae84798f9fdc764ae2f8,0.911527016967,0.106948758413,0.42986534654,0.224694794206,0.250782755848,0.196402071227,0.630501028452,0.94953286623,0.465631589601,0.651186758333,0.8836,-0.0160713868353,0.388687778264,0.628784725198,0.0226670380062,0.106358700124,-0.236313427811,0.0152657611198,42,0.0183660250573
score_bo_l40_rp000_erp005__signal_3d_confirm__ma50,Score BO L40 R20>=0.00 ER20>=0.05 / Signal 3D confirm / MA50 trailing,Qualified,4,1537.94258733,0.537942587327,0.0474985909891,0.0539458581154,0.0476134770404,0.122012617578,0.403967648146,13.9262908671,0.0852941229814,0.0872763189251,1.0909218542,0.970495415747,0.528301886792,0.571428571429,0.7,0.442133438214,0.632468641798,0.182875949932,0.407673501706,-0.259731205808,-0.159646873517,-0.102493127121,-0.218000674098,-0.231510973815,-0.250353872882,0.116511352321,1660,2,972,0.968696397942,43,6,3,2,1,0,-0.0520537414084,-0.0861870611242,-0.08717930872,-0.0188595699706,-0.0300273640189,-2.66957232282,0.968005285766,1,1,0.000857632933105,56.3559176672,329,35.5835729442,407.478254961,0.407478254961,1502,0.219751980494,43.9289942811,2021-06-07,2023-04-26,2025-12-23,-0.259731205808,688,972,1660,1,1,10;15;20,2018-01-26,2018-12-12,2020-08-26,-0.159646873517,320,623,943,1,1,10;15;20,2026-01-29,2026-04-17,2026-06-01,-0.102493127121,78,45,123,1,0.665161616333,,2020-11-06,2020-11-10,2020-11-12,-0.058722988771,4,2,6,1,1,,2020-09-02,2020-10-26,2020-11-04,-0.0576974122406,54,9,63,0.944228339177,1,,2140.50165503,1.14050165503,602.559067699,0.757475359936,0.357279845378,1303.53343872,0.0290590675339,-0.293228410722,0.0991004502681,True,1104.80099335,0.0108282034867,-0.327223070091,0.0330911982571,True,0.0367852735537,50.9347818701,B260,2,score_bo_l40_rm002_erp005__signal_3d_confirm__ma50,da91bce6b0aa53cdcce2e3a7c342760185d81b5de4b5ae84798f9fdc764ae2f8,0.911527016967,0.106948758413,0.42986534654,0.224694794206,0.250782755848,0.196402071227,0.630501028452,0.94953286623,0.465631589601,0.651186758333,0.8864,-0.0161543585753,0.388860108693,0.628784725198,0.0226670380062,0.106358700124,-0.236313427811,0.0152657611198,42,0.0183660250573
score_bo_l40_rm002_erp015__signal_3d_confirm__ma50,Score BO L40 R20>=-0.02 ER20>=0.15 / Signal 3D confirm / MA50 trailing,Qualified,5,1797.37947376,0.797379473759,0.0652509784914,0.0719208194018,0.0654101253768,0.131259707953,1.30170104628,20.0700445815,0.0869848499763,0.0983660758968,1.11962163728,1.01325299688,0.52358490566,0.580357142857,0.7,0.547927620163,0.826820066039,0.274352121326,0.606840511732,-0.237836610033,-0.163318356313,-0.100441559678,-0.195607362757,-0.210121621931,-0.228015394424,0.107525745612,1601,3.5,971,0.967838765009,43,7,3,2,1,0,-0.0508884503764,-0.0692399378949,-0.0861629005816,-0.0193715042311,-0.0312144872588,-2.64175736789,0.96942212084,1,1,0.000857632933105,53.2251286449,315,33.7870527286,436.018907148,0.436018907148,1448,0.216438703992,47.0058753943,2021-08-04,2023-04-26,2025-12-22,-0.237836610033,630,971,1601,0.917473414108,1,10;15;20,2018-01-26,2018-12-12,2020-08-28,-0.163318356313,320,625,945,1,1,10;15;20,2026-01-29,2026-04-17,2026-05-29,-0.100441559678,78,42,120,1,0.665161616333,,2020-11-24,2020-11-27,2020-11-30,-0.0770322533061,3,3,6,1,1,,2020-09-02,2020-10-26,2020-11-04,-0.0684526129982,54,9,63,0.945757502589,1,,2460.35619577,1.46035619577,662.976722009,0.54681481214,0.298570244993,1536.14637722,0.0474811902744,-0.267534316385,0.177477008991,True,1312.82454538,0.0298491657273,-0.29701304408,0.100497827696,True,0.0355609596495,54.5023633935,B300,2,score_bo_l40_rm002_erp015__signal_3d_confirm__ma50,7c9b3f86b80e411b5494b1794fdf819c0e4558928eeedcf73d9647f11d2167ac,0.955374899342,0.175108963148,0.55908303082,0.329931637348,0.361526081851,0.15391692999,0.596937146789,0.946054247462,0.604815074977,0.732864122152,0.9182,-0.0106285528982,0.384245925994,0.504664737586,0.0226670380062,0.110396708989,-0.220543883481,0.0152657611198,42,0.0191667889504
score_bo_l40_rp000_erp015__signal_3d_confirm__ma50,Score BO L40 R20>=0.00 ER20>=0.15 / Signal 3D confirm / MA50 trailing,Qualified,6,1797.37947376,0.797379473759,0.0652509784914,0.0719208194018,0.0654101253768,0.131259707953,1.30170104628,20.0700445815,0.0869848499763,0.0983660758968,1.11962163728,1.01325299688,0.52358490566,0.580357142857,0.7,0.547927620163,0.826820066039,0.274352121326,0.606840511732,-0.237836610033,-0.163318356313,-0.100441559678,-0.195607362757,-0.210121621931,-0.228015394424,0.107525745612,1601,3.5,971,0.967838765009,43,7,3,2,1,0,-0.0508884503764,-0.0692399378949,-0.0861629005816,-0.0193715042311,-0.0312144872588,-2.64175736789,0.96942212084,1,1,0.000857632933105,53.2251286449,315,33.7870527286,436.018907148,0.436018907148,1448,0.216438703992,47.0058753943,2021-08-04,2023-04-26,2025-12-22,-0.237836610033,630,971,1601,0.917473414108,1,10;15;20,2018-01-26,2018-12-12,2020-08-28,-0.163318356313,320,625,945,1,1,10;15;20,2026-01-29,2026-04-17,2026-05-29,-0.100441559678,78,42,120,1,0.665161616333,,2020-11-24,2020-11-27,2020-11-30,-0.0770322533061,3,3,6,1,1,,2020-09-02,2020-10-26,2020-11-04,-0.0684526129982,54,9,63,0.945757502589,1,,2460.35619577,1.46035619577,662.976722009,0.54681481214,0.298570244993,1536.14637722,0.0474811902744,-0.267534316385,0.177477008991,True,1312.82454538,0.0298491657273,-0.29701304408,0.100497827696,True,0.0355609596495,54.5023633935,B300,2,score_bo_l40_rm002_erp015__signal_3d_confirm__ma50,7c9b3f86b80e411b5494b1794fdf819c0e4558928eeedcf73d9647f11d2167ac,0.955374899342,0.175108963148,0.55908303082,0.329931637348,0.361526081851,0.15391692999,0.596937146789,0.946054247462,0.604815074977,0.732864122152,0.9154,-0.0106892397815,0.38231601487,0.504664737586,0.0226670380062,0.110396708989,-0.220543883481,0.0152657611198,42,0.0191667889504
score_bo_l40_rp002_erp010__signal_3d_confirm__ma50,Score BO L40 R20>=0.02 ER20>=0.10 / Signal 3D confirm / MA50 trailing,Qualified,7,1698.39023128,0.698390231284,0.0587651629706,0.0703185468963,0.0589080573253,0.161819718981,0.2006041504,9.68819030813,0.113705218161,0.115174379989,1.08759623297,0.954916967435,0.499142367067,0.607142857143,0.7,0.434548689982,0.618428494608,0.176588270395,0.430124662496,-0.332780670196,-0.225946108702,-0.115542947308,-0.246466983233,-0.263596693135,-0.292396256277,0.136623560783,1590,3,995,0.958833619211,48,9,3,2,2,1,-0.0575288807336,-0.0906722288829,-0.130018975056,-0.0248635808744,-0.0403102668803,-2.4920035193,0.905811693774,1,1,0.0668953687822,42.4142367067,292,34.6424208592,411.605623058,0.411605623058,1217,0.264040673779,44.3739533123,2021-08-04,2023-03-22,2025-12-11,-0.332780670196,595,995,1590,1,1,10;15;20,2018-01-26,2018-12-26,2020-08-24,-0.225946108702,334,607,941,1,1,10;15;20,2026-01-29,2026-04-17,2026-06-01,-0.115542947308,78,45,123,1,0.665161616333,,2020-09-02,2020-10-23,2020-10-27,-0.0677139490048,51,4,55,0.939401791512,1,,2026-06-02,2026-06-10,,-0.060416694061,8,,55,0.990903068515,0.980040258946,,2344.20216544,1.34420216544,645.811934154,0.589363373971,0.306208123779,1445.51762049,0.0406205727007,-0.360864386803,0.112564648068,True,1230.22834853,0.0226429187914,-0.391401305947,0.0578509025069,True,0.0362651385339,51.4507028823,B340,1,score_bo_l40_rp002_erp010__signal_3d_confirm__ma50,11251c3ec308428a6eccd33d1f95fc3760ea325acf588b97dd5c3d147876e3c0,0.907217836544,0.10329617389,0.420978125255,0.218375144436,0.243999759645,0.162191466578,0.644952193435,1.01489856488,0.378395840138,0.526016165609,0.8894,-0.0185737791238,0.470297741271,0.668226628555,0.0198230691712,0.0925505225485,-0.308190682669,-0.0770932909283,26.6666666667,0.0308993084363
score_bo_l40_rm002_erp015__signal_3d_confirm__low20,Score BO L40 R20>=-0.02 ER20>=0.15 / Signal 3D confirm / Low20 trailing,Qualified,8,1827.87794289,0.827877942888,0.0671850483281,0.0734654024816,0.0673490598527,0.129132068549,1.30284187392,20.9984785204,0.0859326988125,0.0964620607896,1.12347995902,0.967865841394,0.535591766724,0.580357142857,0.6,0.56891679431,0.854917900833,0.229439035701,0.519019402195,-0.292823094042,-0.171629523977,-0.114694400306,-0.25148209485,-0.267795942972,-0.283789625908,0.129446120981,1601,3,971,0.96397941681,44,6,3,2,1,0,-0.0509284279692,-0.0672568646556,-0.0955797520974,-0.0189539787376,-0.030993629928,-2.66134227788,0.968276092254,1,1,0.00171526586621,50.5741852487,316,34.1343564381,445.601003714,0.445601003714,1433,0.220952391129,48.0388921507,2021-08-04,2023-04-26,2025-12-22,-0.292823094042,630,971,1601,0.917473414108,1,10;15;20,2018-01-26,2018-12-12,2020-08-26,-0.171629523977,320,623,943,1,1,10;15;20,2026-01-29,2026-04-17,,-0.114694400306,78,,179,1,1,,2020-11-24,2020-11-27,2020-11-30,-0.0770322533061,3,3,6,1,1,,2020-11-06,2020-11-10,2020-11-12,-0.058722988771,4,2,6,1,1,,2510.12888674,1.51012888674,682.250943852,0.538244807151,0.295074816214,1559.71116354,0.0492058222248,-0.322198499122,0.152718967838,True,1330.828469,0.0313660927529,-0.351748085315,0.089172035506,True,0.0359829670999,55.7001254643,B298,2,score_bo_l40_rm002_erp015__signal_3d_confirm__low20,35cbe24ae0b00792a6839e3da96709be6148527bbf09bd39bda1c588a54e085a,0.961246319688,0.192286904791,0.584666902159,0.353759320125,0.386126561354,0.149623183608,0.580284679029,0.891952680836,0.587942840453,0.767090467071,0.9214,-0.00972674118563,0.388707651516,0.6488700351,0.0136134061384,0.101214230162,-0.229069476071,0.0630170005818,29.6666666667,0.0171737673287
score_bo_l40_rp000_erp015__signal_3d_confirm__low20,Score BO L40 R20>=0.00 ER20>=0.15 / Signal 3D confirm / Low20 trailing,Qualified,9,1827.87794289,0.827877942888,0.0671850483281,0.0734654024816,0.0673490598527,0.129132068549,1.30284187392,20.9984785204,0.0859326988125,0.0964620607896,1.12347995902,0.967865841394,0.535591766724,0.580357142857,0.6,0.56891679431,0.854917900833,0.229439035701,0.519019402195,-0.292823094042,-0.171629523977,-0.114694400306,-0.25148209485,-0.267795942972,-0.283789625908,0.129446120981,1601,3,971,0.96397941681,44,6,3,2,1,0,-0.0509284279692,-0.0672568646556,-0.0955797520974,-0.0189539787376,-0.030993629928,-2.66134227788,0.968276092254,1,1,0.00171526586621,50.5741852487,316,34.1343564381,445.601003714,0.445601003714,1433,0.220952391129,48.0388921507,2021-08-04,2023-04-26,2025-12-22,-0.292823094042,630,971,1601,0.917473414108,1,10;15;20,2018-01-26,2018-12-12,2020-08-26,-0.171629523977,320,623,943,1,1,10;15;20,2026-01-29,2026-04-17,,-0.114694400306,78,,179,1,1,,2020-11-24,2020-11-27,2020-11-30,-0.0770322533061,3,3,6,1,1,,2020-11-06,2020-11-10,2020-11-12,-0.058722988771,4,2,6,1,1,,2510.12888674,1.51012888674,682.250943852,0.538244807151,0.295074816214,1559.71116354,0.0492058222248,-0.322198499122,0.152718967838,True,1330.828469,0.0313660927529,-0.351748085315,0.089172035506,True,0.0359829670999,55.7001254643,B298,2,score_bo_l40_rm002_erp015__signal_3d_confirm__low20,35cbe24ae0b00792a6839e3da96709be6148527bbf09bd39bda1c588a54e085a,0.961246319688,0.192286904791,0.584666902159,0.353759320125,0.386126561354,0.149623183608,0.580284679029,0.891952680836,0.587942840453,0.767090467071,0.9152,-0.0104789910934,0.388437672594,0.6488700351,0.0136134061384,0.101214230162,-0.229069476071,0.0630170005818,29.6666666667,0.0171737673287
score_bo_l40_rp002_erp015__signal_3d_confirm__ma50,Score BO L40 R20>=0.02 ER20>=0.15 / Signal 3D confirm / MA50 trailing,Qualified,10,1889.28752154,0.889287521544,0.0709935493892,0.0830452889974,0.0711671644509,0.169375127137,0.561560895673,11.6379457231,0.116077629884,0.123405764929,1.10232142907,0.968677988397,0.4987135506,0.598214285714,0.7,0.490303921251,0.715428882211,0.211232052703,0.507244451707,-0.336092692755,-0.225879035023,-0.114706013484,-0.24922235456,-0.266414218721,-0.295697309493,0.139959242827,1601,3,1006,0.960977701544,46,10,4,2,2,1,-0.0575288807336,-0.09036320447,-0.130018975056,-0.0254905327632,-0.0420490066857,-2.51792303667,0.906060636208,1,1,0.0673241852487,41.7152658662,290,34.2734634812,443.463331218,0.443463331218,1198,0.265371545033,47.8084361651,2021-08-04,2023-03-22,2025-12-22,-0.336092692755,595,1006,1601,1,1,10;15;20,2018-01-26,2018-12-26,2020-08-26,-0.225879035023,334,609,943,1,1,10;15;20,2026-01-29,2026-04-17,2026-06-01,-0.114706013484,78,45,123,1,0.665161616333,,2020-09-02,2020-10-23,2020-11-05,-0.100157873332,51,13,64,0.941181568231,1,,2020-11-24,2020-11-27,2020-11-30,-0.0770322533061,3,3,6,1,1,,2599.0280694,1.5990280694,709.740547859,0.498672612035,0.277333049809,1610.66651679,0.0528570040811,-0.362979846196,0.145619666312,True,1373.05898075,0.0348536483538,-0.389473804952,0.0894890693819,True,0.0363135160972,55.4329164023,B360,1,score_bo_l40_rp002_erp015__signal_3d_confirm__ma50,69e31b0c61e565957d1dbdb296c6098fd3ca27b1e04b46c24c5f96b164884a4e,0.933428267249,0.135861513257,0.488153364463,0.270548095416,0.299271034646,0.141851786385,0.617421182003,0.994580881683,0.557405210872,0.634451678768,0.8976,-0.02004595463,0.478657162907,0.653497895897,0.0198230691712,0.0931146378247,-0.307441421201,-0.0770932909283,26.6666666667,0.0285903829485
