model,rank,strategy_key,strategy_label,score_lookback,r20_min,er20_min,entry_key,entry_label,exit_key,exit_label,completed_trades,avg_trade_return,median_trade_return,trade_win_rate,profit_factor,positive_year_ratio,eligible_years,available_neighbors,eligible_neighbors,neighbor_pass_ratio_current,neighbor_median_return_min_current,neighbor_median_return_max_current,neighbor_drawdown_min_current,neighbor_drawdown_max_current,parameter_stability_status_current,neighbor_edge_pass_ratio_proposed,neighbor_median_profit_factor_proposed,neighbor_avg_trade_return_min_proposed,neighbor_time_pass_ratio_proposed,time_stability_status_current,robustness_tier_current
Model 1,1,score_bo_l10_rp002_erp005__first_signal__low20,Score BO L10 R20>=0.02 ER20>=0.05 / First signal / Low20 trailing,10,0.02,0.05,first_signal,First signal,low20,Low20 trailing,9117,0.0123540745228859,-0.0030179839253782,0.4763628386530657,1.729105006028098,0.6,10,3,3,0.0,-0.003504973354016,-0.0020003138940465,-1.0,-1.0,Fail,1.0,1.7290454536396356,0.0106590703530199,0.6666666666666666,Pass,Not qualified
Model 1,2,score_bo_l10_rp002_erp010__first_signal__low20,Score BO L10 R20>=0.02 ER20>=0.10 / First signal / Low20 trailing,10,0.02,0.1,first_signal,First signal,low20,Low20 trailing,9067,0.0122512033819019,-0.0030179839253782,0.4759016212639241,1.7290454536396356,0.6,10,4,4,0.0,-0.0035169515872389,-0.0020244624797516,-1.0,-1.0,Fail,1.0,1.7113125743419184,0.0103700288130369,0.75,Pass,Not qualified
Model 1,3,score_bo_l20_rp002_erp015__first_signal__ma50,Score BO L20 R20>=0.02 ER20>=0.15 / First signal / MA50 trailing,20,0.02,0.15,first_signal,First signal,ma50,MA50 trailing,8552,0.0109098423860234,-0.0091284420429055,0.4126520112254443,1.7263798519956557,0.6,10,4,4,0.0,-0.0096671345664046,-0.0051049774961312,-0.9999999999999832,-0.999999999998594,Fail,1.0,1.7126148241049373,0.008520572624864,0.0,Pass,Not qualified
Model 1,4,score_bo_l20_rp002_erp010__signal_2d_confirm__ma50,Score BO L20 R20>=0.02 ER20>=0.10 / Signal 2D confirm / MA50 trailing,20,0.02,0.1,signal_2d_confirm,Signal 2D confirm,ma50,MA50 trailing,6254,0.0115654146265104,-0.0069937651924496,0.4537895746722097,1.718542538381777,0.6,10,5,5,0.0,-0.0079499469502198,-0.004063604248786,-0.9999999999985998,-0.9999999999001068,Fail,1.0,1.7138799188774587,0.0098249907812027,0.4,Pass,Not qualified
Model 1,5,score_bo_l10_rp002_erp010__signal_2d_confirm__ma50,Score BO L10 R20>=0.02 ER20>=0.10 / Signal 2D confirm / MA50 trailing,10,0.02,0.1,signal_2d_confirm,Signal 2D confirm,ma50,MA50 trailing,6996,0.0114402039907209,-0.0079499469502198,0.4428244711263579,1.7163195223240268,0.6,10,4,4,0.0,-0.0082636098603159,-0.0044121934197365,-0.9999999999994296,-0.9999999999812696,Fail,1.0,1.7133361329031265,0.0096093432905588,0.75,Pass,Not qualified
Model 1,6,score_bo_l20_rp002_erp015__signal_2d_confirm__ma50,Score BO L20 R20>=0.02 ER20>=0.15 / Signal 2D confirm / MA50 trailing,20,0.02,0.15,signal_2d_confirm,Signal 2D confirm,ma50,MA50 trailing,6079,0.0115430397274546,-0.0063513229315856,0.4587925645665405,1.7155251691518885,0.6,10,4,4,0.0,-0.00709436445243,-0.0030947463149536,-0.999999999994617,-0.999999999878893,Fail,1.0,1.7096643516353986,0.0102499512761763,0.5,Pass,Not qualified
Model 1,7,score_bo_l10_rp002_erp005__signal_2d_confirm__ma50,Score BO L10 R20>=0.02 ER20>=0.05 / Signal 2D confirm / MA50 trailing,10,0.02,0.05,signal_2d_confirm,Signal 2D confirm,ma50,MA50 trailing,7092,0.0113650088252752,-0.0082636098603159,0.4392272983643542,1.7111634617392149,0.6,10,3,3,0.0,-0.0079499469502198,-0.0049341456506289,-0.9999999999992644,-0.9999999999925656,Fail,1.0,1.7074178071885635,0.0093240393375379,0.3333333333333333,Pass,Not qualified
Model 1,8,score_bo_l10_rp002_erp015__first_signal__low20,Score BO L10 R20>=0.02 ER20>=0.15 / First signal / Low20 trailing,10,0.02,0.15,first_signal,First signal,low20,Low20 trailing,8835,0.0117991494187297,-0.0033106459674764,0.4732314657611771,1.7059325465978017,0.6,10,3,3,0.0,-0.0036798352973448,-0.002,-1.0,-1.0,Fail,1.0,1.713235800291231,0.0102927858308169,0.6666666666666666,Pass,Not qualified
Model 1,9,score_bo_l10_rp002_erp005__first_signal__low20_minus_0_5atr,Score BO L10 R20>=0.02 ER20>=0.05 / First signal / Low20 - 0.5ATR trailing,10,0.02,0.05,first_signal,First signal,low20_minus_0_5atr,Low20 - 0.5ATR trailing,8710,0.0131948575528157,-0.0035836376621297,0.4756601607347876,1.705043272803019,0.6,10,3,3,0.0,-0.0039679456397248,-0.0016403717839364,-1.0,-1.0,Fail,1.0,1.6973752330547236,0.0114481898449399,0.6666666666666666,Pass,Not qualified
Model 1,10,score_bo_l10_rp002_erp015__signal_2d_confirm__ma50,Score BO L10 R20>=0.02 ER20>=0.15 / Signal 2D confirm / MA50 trailing,10,0.02,0.15,signal_2d_confirm,Signal 2D confirm,ma50,MA50 trailing,6736,0.0111955478119345,-0.00709436445243,0.4489311163895487,1.7007861648890203,0.6,10,3,3,0.0,-0.0079499469502198,-0.0037362295357695,-0.9999999999985998,-0.9999999999467508,Fail,1.0,1.7163195223240268,0.0098010476475079,0.6666666666666666,Pass,Not qualified
